Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Serbia,"11,312","25,985","44,400","12,899","38,185",22,"9,863,026",50,51,210
Seychelles,26,49,191,"17,620","90,043",18,"85,532",14,6,223
Sierra Leone,163,327,"1,048","9,628","16,632",31,"5,586,403",127,156,152
Singapore,"1,117","19,302","39,428","16,660","49,449",20,"4,327,468",20,27,219
Slovakia,"9,654","16,813","31,200","10,575","30,348",30,"5,386,995",102,83,158
Slovenia,"5,888","10,412","19,722","11,007","37,426",24,"1,999,425",97,53,197
Solomon Islands,26,39,115,"6,325","11,341",36,"472,419",193,198,118
Somalia,357,687,"2,280","10,410","11,491",76,"8,196,395",105,197,25
South Africa,"22,976","56,199","134,613","8,526","28,989",34,"47,938,663",151,89,134
Spain,"32,054","59,410","135,281","10,443","31,129",46,"43,397,491",104,78,69
Sri Lanka,"8,553","17,557","48,508","7,849","15,607",27,"19,120,763",163,164,180
Sudan,912,"1,780","5,543","2,770","7,876",83,"36,899,747",220,213,21
Suriname,340,605,"1,121","11,577","29,473",30,"452,468",80,88,158
Swaziland,123,158,374,"10,804","18,258",36,"1,124,529",99,145,118
Sweden,"9,794","12,021","22,423","12,365","46,831",32,"9,038,049",63,33,144
Switzerland,"17,588","39,607","83,451","17,837","58,712",25,"7,424,389",12,19,192
Syrian Arab Republic,"2,265","4,579","7,877","7,549","19,419",46,"18,893,881",168,136,69
Taiwan,"26,418","365,304","1,029,895","12,930","45,869",27,0,48,35,180
Tajikistan,930,"1,652","3,588","5,174","11,210",43,"6,550,213",204,200,86
Thailand,"117,150","534,349","1,475,181","11,838","25,954",33,"63,002,911",74,105,138
The former Yugoslav Republic of Macedonia,"2,861","8,938","15,373","16,624","42,117",30,"2,033,655",21,47,158
Timor-Leste,314,553,"1,438","2,854","3,903",32,"1,067,285",218,222,144
Togo,289,413,703,"6,326","23,685",38,"6,238,572",192,111,104
Tonga,80,95,200,"10,101","14,906",46,"99,361",116,170,69
Trinidad and Tobago,"1,323","2,836","5,524","11,378","32,356",24,"1,323,722",88,72,197
Tunisia,"4,317","11,696","25,161","11,589","24,361",28,"10,104,685",79,108,173
Turkey,"41,380","121,542","233,372","12,601","31,995",32,"72,969,723",57,74,144
Turkmenistan,207,249,412,"2,380","6,223",85,"4,833,266",221,218,19
Turks and Caicos Islands,13,14,16,"13,436","42,611",141,"24,459",39,44,8
Uganda,"1,017","1,718","3,938","7,315","12,034",33,"28,947,181",171,194,138
Ukraine,"61,109","155,557","295,886","10,336","23,951",44,"46,917,544",109,110,81
United Arab Emirates,"5,109","17,840","32,414","20,608","110,071",26,"4,104,291",6,3,190
United Kingdom,"114,938","262,891","593,851","10,365","36,568",41,"60,244,834",108,55,91
United Republic of Tanzania,"1,422","2,380","6,421","6,763","11,288",44,"38,477,873",184,199,81
United States,"610,088","1,069,968","2,381,428","9,755","43,945",47,"299,846,449",124,42,68
United States Virgin Islands,195,371,726,"6,147","21,710",70,"111,408",194,122,31
Uruguay,"2,073","3,865","8,867","12,796","26,346",35,"3,325,727",54,104,127
Uzbekistan,"8,286","14,951","29,818","5,982","10,443",52,"26,593,123",196,204,54
Vanuatu,74,124,231,"5,322","10,847",56,"215,366",202,201,44
Venezuela,"4,108","12,435","34,674","3,756","6,614",64,"26,725,573",216,214,36
Viet Nam,"47,897","132,511","271,303","17,426","33,597",27,"85,028,643",17,68,180
Yemen,150,159,305,"4,227","5,095",200,"21,095,679",212,221,5
Zambia,"1,361","2,220","8,132","8,188","12,935",35,"11,478,317",158,185,127
Zimbabwe,505,622,"2,068","6,514","12,729",41,"13,119,679",187,186,91
