Name,Number of Record,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,790,"1,280","2,438","2,374","5,908",78,"25,067,407",221,221,26
Albania,"1,873","4,737","7,478","12,662","43,840",26,"3,153,731",69,61,179
Algeria,"15,377","47,602","114,686","9,459","16,327",37,"32,854,159",152,188,91
American Samoa,23,32,50,"7,825","12,246",32,"64,051",179,210,125
Andorra,46,63,201,"25,494","116,859",35,"73,483",4,9,111
Angola,609,795,"2,048","7,563","17,813",51,"16,095,214",184,172,43
Anguilla,23,31,119,"9,854","24,817",62,"12,256",138,130,33
Antigua and Barbuda,207,478,"1,066","10,325","31,675",55,"83,039",125,100,38
Argentina,"21,783","42,848","76,939","9,082","26,073",43,"38,747,148",158,122,62
Armenia,"2,285","6,733","11,679","8,430","23,277",24,"3,017,661",172,140,197
Aruba,151,304,638,"20,380","74,569",25,"102,897",18,24,187
Australia,"51,709","148,203","275,970","14,484","99,093",28,"20,310,208",44,12,160
Austria,"22,840","46,317","84,971","14,965","58,781",27,"8,291,979",40,37,170
Azerbaijan,"3,999","8,537","13,046","11,891","32,269",25,"8,352,021",86,97,187
Bahamas,309,442,890,"12,100","31,887",31,"323,295",84,98,133
Bahrain,908,"8,627","15,365","14,325","67,090",23,"724,788",46,28,205
Bangladesh,"19,056","39,397","91,752","7,359","10,752",52,"15,328,112",190,215,42
Barbados,90,107,310,"8,252","29,577",31,"291,933",174,107,133
Belarus,"15,343","31,554","62,385","7,272","15,256",36,"9,795,287",193,195,104
Belgium,"10,264","14,392","22,391","14,582","61,371",27,"10,398,049",42,35,170
Belize,263,366,591,"7,953","18,179",29,"275,546",178,169,151
Benin,450,664,"1,903","10,749","20,467",37,"8,490,301",109,153,91
Bermuda,26,36,58,"9,578","42,168",18,"64,174",146,64,224
Bhutan,262,357,751,"9,224","19,539",42,"637,013",156,162,65
Bolivia,"5,450","17,878","30,231","9,456","17,214",34,"9,182,015",153,176,115
Bosnia and Herzegovina,"5,370","10,399","18,669","12,278","29,266",28,"3,915,238",79,108,160
Botswana,578,751,"1,512","10,355","21,489",39,"1,835,938",124,151,81
Brazil,"115,350","434,863","798,742","9,078","27,659",44,"186,830,759",159,114,57
British Virgin Islands,53,85,148,"10,110","33,279",72,"22,016",131,91,27
Brunei Darussalam,729,"2,058","3,967","20,559","49,670",19,"373,831",17,51,221
Bulgaria,"9,558","28,754","52,355","13,164","67,837",29,"7,744,591",61,27,151
Burkina Faso,330,507,"1,217","9,573","16,507",33,"13,933,363",147,186,118
Burma,"20,325","46,216","139,934","9,410","15,748",137,"47,967,266",154,191,8
Burundi,127,211,691,"6,636","7,816",37,"7,858,791",200,217,91
Cambodia,"8,807","21,708","59,429","10,943","15,822",31,"13,955,507",106,190,133
Cameroon,552,"1,406","7,287","10,540","23,166",37,"17,795,149",120,142,91
Canada,"49,721","79,428","153,173","13,352","85,117",36,"32,270,507",59,18,104
Cape Verde,107,205,509,"9,486","19,836",27,"506,807",150,159,170
Cayman Islands,61,101,221,"10,216","30,712",24,"45,591",129,102,197
Central African Republic,19,24,118,"1,347","3,827",483,"4,191,429",224,223,1
Chad,55,74,149,"12,701","15,678",29,"10,145,609",68,192,151
Chile,"23,202","78,633","204,957","9,922","17,071",40,"16,295,102",135,178,76
China,"276,508","670,099","2,144,576","29,621","146,022",31,"1,312,978,855",1,3,133
Colombia,"20,442","113,619","322,401","7,111","13,889",127,"4,494,579",196,204,9
Comoros,19,30,88,"7,236","11,926",262,"797,902",195,212,5
Congo,105,156,471,"8,413","19,562",25,"3,609,851",173,161,187
Cook Islands,11,11,19,"18,825","29,650",24,"13,984",22,106,197
Costa Rica,"5,418","20,166","33,726","8,003","23,171",29,"4,327,228",177,141,151
Cote d'Ivoire,"1,052","1,616","6,789","9,830","16,695",34,"18,584,701",139,184,115
Croatia,"16,164","44,261","80,515","14,147","65,134",31,"455,149",48,31,133
Cuba,451,609,"1,232","12,310","23,620",106,"11,259,905",77,138,13
Cyprus,"2,270","7,532","21,214","22,231","121,628",27,"836,321",12,8,170
Czech Republic,"14,975","24,204","40,759","15,796","48,635",31,"10,191,762",33,55,133
Democratic Republic of the Congo,315,548,"2,231","6,286","12,516",82,"58,740,547",206,208,25
Denmark,"17,530","30,973","59,870","20,652","80,880",23,"5,416,945",16,20,205
Djibouti,33,51,86,"3,365","3,955",42,"804,206",218,222,65
Dominica,32,42,82,"7,695","34,456",96,"67,827",181,86,16
Dominican Republic,"4,324","14,955","25,448","8,041","26,105",38,"9,469,601",176,121,86
Ecuador,"5,154","14,280","22,728","9,723","23,116",36,"13,060,993",142,143,104
Egypt,"13,103","43,315","69,359","9,564","21,139",37,"72,849,793",148,152,91
El Salvador,"3,168","13,566","29,018","7,244","17,084",31,"6,668,356",194,177,133
Equatorial Guinea,26,39,69,"3,785","9,138",45,"484,098",216,216,55
Estonia,"6,874","11,125","20,060","11,786","51,646",28,"1,344,312",91,46,160
Ethiopia,669,"1,218","3,484","15,254","24,334",46,"78,985,857",35,132,53
Faroe Islands,117,134,180,"24,420","58,322",16,"48,205",8,38,226
