Name,Number of Record,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Fiji,568,"1,273","3,117","10,006","24,045",36,"828,046",134,133,104
Finland,"67,144","154,083","327,480","13,225","63,472",25,"5,246,004",60,33,187
France,"100,314","178,051","340,379","10,748","61,422",37,"60,990,544",110,34,91
French Guiana,84,113,222,"8,470","33,632",127,"192,099",171,88,9
French Polynesia,169,304,547,"9,351","20,085",20,"255,632",155,157,219
Gabon,205,274,617,"7,419","20,305",44,"1,290,693",188,155,57
Gambia,55,74,159,"4,143","12,097",28,"1,617,029",215,211,160
Georgia,"2,636","5,297","10,462","12,424","34,182",28,"4,473,409",74,87,160
Germany,"114,297","188,854","346,592","13,119","52,264",32,"82,652,369",63,45,125
Ghana,"1,262","1,688","4,155","8,076","11,654",42,"2,253,501",175,214,65
Gibraltar,16,53,66,"17,419","82,779",51,291,26,19,43
Greece,"19,949","73,334","133,543","12,149","53,585",30,"11,099,737",82,43,145
Greenland,74,107,177,"23,370","89,776",40,"57,475",9,16,76
Grenada,53,72,119,"9,113","32,608",97,"105,237",157,95,15
Guadeloupe,264,367,674,"10,250","49,637",95,"438,403",128,52,17
Guam,283,662,"1,359","8,822","25,516",39,"16,857",165,124,81
Guatemala,"5,928","14,787","27,942","13,915","23,709",32,"12,709,564",52,136,125
Guernsey,154,306,555,"11,333","41,592",22,0,98,65,212
Guinea,99,119,288,"6,650","15,428",69,"9,002,656",199,194,29
Guinea-Bissau,94,185,575,"28,596","50,244",28,"1,596,929",2,50,160
Guyana,251,420,696,"11,803","40,936",24,"739,472",89,69,197
Haiti,567,932,"2,210","9,486","18,369",51,"9,296,291",150,168,43
Holy See (Vatican City),6,186,335,"17,241","60,136",34,783,27,36,115
Honduras,"3,450","9,787","18,228","9,513","22,255",37,"683,411",149,147,91
Hong Kong,"1,477","40,936","93,708","14,220","78,505",20,"7,057,418",47,21,219
Hungary,"18,841","41,010","71,818","13,386","41,315",25,"10,086,387",58,67,187
Iceland,863,"1,233","1,834","19,882","133,683",19,"295,732",20,6,221
India,"470,290","1,746,390","4,563,658","5,288","14,940",55,"1,134,403,141",210,200,38
Indonesia,"155,564","658,818","1,566,592","11,129","16,522",42,"226,063,044",102,185,65
Iran (Islamic Republic of),"24,321","62,657","130,211","11,788","30,324",37,"69,420,607",90,103,91
Iraq,"5,303","9,650","17,080","15,228","32,645",36,"27,995,984",36,94,104
Ireland,"20,819","40,080","85,477","9,695","38,421",32,"4,143,294",143,78,125
Isle of Man,207,329,661,"12,188","32,996",43,"78,357",80,92,62
Israel,"8,386","43,654","83,460","12,509","36,180",29,"6,692,037",72,82,151
Italy,"168,806","568,064","1,180,825","11,429","43,185",42,"5,864,636",95,63,65
Jamaica,"1,297","2,043","3,875","9,793","31,562",26,"2,682,469",141,101,179
Japan,"61,311","151,308","395,999","10,613","43,980",44,"127,896,740",117,60,57
Jersey,121,190,358,"9,910","55,633",21,0,136,41,216
Jordan,"6,514","30,639","51,934","14,334","20,094",22,"5,544,066",45,156,212
Kazakhstan,"18,925","44,940","85,219","10,169","23,509",41,"15,210,609",130,139,73
Kenya,"2,982","5,707","11,207","10,701","18,701",42,"35,598,952",113,165,65
Kiribati,4,4,7,"4,876","12,641",296,"92,003",213,207,3
"Korea, Democratic People's Republic of",5,5,7,"22,358","125,412",31,"23,615,611",10,7,133
"Korea, Republic of","11,134","20,611","42,748","25,173","208,375",27,"47,869,837",6,1,170
Kuwait,"2,842","20,414","45,156","24,899","140,660",22,"2,700",7,5,212
Kyrgyzstan,"3,109","5,543","10,808","11,488","23,832",27,"5,203,547",94,135,170
Lao People's Democratic Republic,"4,677","9,432","21,232","13,615","27,296",35,"566,391",55,115,111
Latvia,"8,509","15,677","31,389","10,318","38,374",24,"2,301,793",126,79,197
Lebanon,"2,124","4,137","6,191","12,597","43,379",25,"401,074",71,62,187
Lesotho,106,137,685,"13,751","25,268",31,"1,980,831",54,125,133
Liberia,84,133,"10,169","7,636","15,202",35,"3,441,796",182,197,111
Libyan Arab Jamahiriya,"4,226","9,091","18,518","6,474","16,505",42,"5,918,217",203,187,65
Liechtenstein,126,199,304,"14,040","51,357",29,"34,598",51,48,151
Lithuania,"9,002","14,751","27,302","12,298","57,276",28,"3,425,077",78,39,160
Luxembourg,"1,103","2,224","4,018","16,434","76,372",29,"456,613",31,23,151
Macau,35,"1,229","3,530","20,012","52,841",18,"47,309",19,44,224
Madagascar,115,135,229,"8,751","18,024",72,"18,642,586",167,170,27
Malawi,470,582,"1,185","17,656","37,381",30,"13,226,091",24,81,145
Malaysia,"53,459","449,892","1,335,072","8,999","22,890",39,"25,652,985",162,144,81
Maldives,26,225,361,"14,610","49,349",22,"295,297",41,53,212
Mali,293,472,"1,789","14,146","41,526",26,"1,161,109",49,66,179
Malta,523,"1,856","3,475","13,143","48,718",23,"402,617",62,54,205
Martinique,239,342,620,"10,728","51,289",90,"395,896",111,49,19
Mauritania,347,654,"1,601","7,359","15,621",46,"2,963,105",190,193,53
Mauritius,975,"2,410","5,091","11,084","23,709",23,"1,241,173",103,136,205
Mayotte,27,30,33,"8,766","25,811",345,0,166,123,2
Mexico,"62,308","204,420","353,922","12,355","26,849",56,"104,266,392",76,117,36
"Micronesia, Federated States of",25,31,59,"1,696","19,273",83,"110,058",223,164,23
Monaco,24,122,247,"11,821","85,800",41,325,88,17,73
Mongolia,776,"1,059","2,540","11,228","20,383",45,"2,580,704",100,154,55
Montenegro,970,"2,244","3,947","14,512","37,845",23,"607,969",43,80,205
Montserrat,8,10,15,"9,855","40,894",40,"5,628",137,70,76
Morocco,"10,713","35,108","59,536","12,383","33,348",30,"30,494,991",75,90,145
Mozambique,"1,060","1,737","4,704","11,220","17,779",41,"20,532,675",101,173,73
Namibia,859,"1,464","2,927","9,632","16,754",33,"2,019,677",145,182,118
Nauru,9,13,58,"10,359","25,077",196,"10,111",123,127,6
Nepal,"2,197","3,183","5,703","11,314","18,416",39,"27,093,656",99,167,81
Netherlands,"29,645","56,932","98,339","21,565","98,235",25,"1,632,769",13,13,187
Netherlands Antilles,208,328,559,"15,159","51,408",25,"186,392",38,47,187
New Caledonia,85,123,242,"4,410","16,297",31,"234,185",214,189,133
New Zealand,"5,659","9,277","16,187","12,958","54,232",37,"4,097,112",65,42,91
Nicaragua,"2,218","5,710","10,297","8,954","17,656",38,"5,462,539",164,174,86
Niger,169,256,538,"4,966","12,345",117,"1,326,419",211,209,11
Nigeria,"4,656","7,029","17,940","10,094","20,043",56,"141,356,083",132,158,36
Niue,2,2,3,"2,835","22,181",107,"1,632",220,148,12
Northern Mariana Islands,93,156,245,"8,491","28,808",26,"80,258",170,109,179
Norway,"15,827","23,226","39,461","18,037","108,699",32,"4,638,836",23,11,125
Oman,"4,903","8,695","15,628","17,451","77,992",30,"2,507,042",25,22,145
Pakistan,"38,006","139,711","282,373","10,636","17,038",40,"158,080,591",116,179,76
Palau,39,70,123,"15,974","26,755",27,"20,127",32,119,170
Palestine,917,"6,041","12,520","9,001","22,318",32,"3,762,005",161,146,125
Panama,"3,382","10,484","19,686","10,754","16,978",28,"3,231,502",108,180,160
Papua New Guinea,324,530,"1,244","12,647","24,535",94,"6,069,715",70,131,18
Paraguay,"3,842","7,922","13,570","8,537","17,597",39,"5,904,342",169,175,81
Peru,"13,931","51,192","116,810","11,392","19,320",51,"27,274,266",97,163,43
Philippines,"61,439","572,435","1,475,185","7,279","17,961",37,"84,566,163",192,171,91
Poland,"79,369","153,055","282,701","10,056","48,632",33,"38,195,558",133,56,118
Portugal,"14,235","24,289","39,513","10,986","40,144",33,"10,528,226",105,73,118
Puerto Rico,"7,797","32,219","71,765","10,455","48,239",48,"3,946,779",122,57,50
Qatar,"1,835","6,440","11,710","25,427","142,654",25,"796,186",5,4,187
Republic of Moldova,"2,129","3,995","6,662","10,679","35,326",26,"3,876,661",115,85,179
Reunion,304,400,693,"15,051","66,262",38,"785,159",39,30,86
Romania,"25,954","68,000","125,655","10,597","33,597",33,"21,627,557",118,89,118
Russia,"292,836","788,704","1,590,860","9,050","23,885",43,"143,953,092",160,134,62
Rwanda,327,538,"1,047","5,837","18,654",38,"9,233,793",208,166,86
Saint Barthelemy,67,176,361,"7,517","24,881",58,0,187,129,35
Saint Kitts and Nevis,57,85,154,"10,727","31,696",66,"49,138",112,99,31
Saint Lucia,88,116,234,"11,052","40,188",49,"16,124",104,72,48
Saint Martin,35,69,129,"6,578","32,766",101,0,201,93,14
Saint Pierre and Miquelon,8,9,14,"21,177","90,469",48,"6,346",15,15,50
Saint Vincent and the Grenadines,54,95,145,"10,499","27,014",59,"119,137",121,116,34
Samoa,104,198,359,"15,215","25,138",19,"183,845",37,126,221
San Marino,91,204,295,"11,747","27,898",36,"30,214",92,111,104
Sao Tome and Principe,7,8,10,"1,105","3,469",32,"152,622",225,225,125
Saudi Arabia,"38,355","175,277","348,875","21,315","114,444",37,"2,361,236",14,10,91
Senegal,581,868,"1,485","13,421","35,414",28,"1,177,034",57,84,160
Serbia,"10,826","23,773","40,328","12,938","40,217",23,"9,863,026",66,71,205
Seychelles,38,50,89,"6,334","16,785",23,"85,532",205,181,205
Sierra Leone,220,555,"1,810","10,289","24,997",26,"5,586,403",127,128,179
Singapore,"1,162","20,039","41,392","16,822","66,698",21,"4,327,468",29,29,216
Slovakia,"8,089","14,468","24,436","10,884","38,738",25,"5,386,995",107,74,187
Slovenia,"5,503","9,992","17,422","11,868","45,350",21,"1,999,425",87,59,216
Solomon Islands,30,47,88,"7,368","15,036",83,"472,419",189,199,23
Somalia,376,787,"2,105","9,667","13,008",90,"8,196,395",144,206,19
South Africa,"25,077","54,531","107,032","10,691","38,576",31,"47,938,663",114,77,133
Spain,"35,417","72,990","142,243","11,699","41,138",44,"43,397,491",93,68,57
Sri Lanka,"15,117","34,205","92,274","6,423","14,054",30,"19,120,763",204,202,145
Sudan,"1,013","1,973","4,464","7,076","11,853",47,"36,899,747",197,213,52
Suriname,402,812,"1,984","13,069","29,768",30,"452,468",64,104,145
Swaziland,133,174,564,"12,793","21,824",28,"1,124,529",67,149,160
Sweden,"10,614","13,588","24,161","13,904","64,253",33,"9,038,049",53,32,118
Switzerland,"17,550","41,090","77,171","22,294","97,058",24,"7,424,389",11,14,197
Syrian Arab Republic,"2,809","5,938","14,848","7,718","19,572",53,"18,893,881",180,160,41
Taiwan,"25,200","349,922","1,000,899","15,358","67,929",24,0,34,25,197
Tajikistan,"1,159","1,916","3,386","5,895","14,066",36,"6,550,213",207,201,104
Thailand,"102,617","410,117","1,032,721","12,132","32,598",32,"63,002,911",83,96,125
The former Yugoslav Republic of Macedonia,"2,704","7,928","12,934","16,761","45,555",26,"2,033,655",30,58,179
Timor-Leste,173,397,"1,436","4,928","7,556",37,"1,067,285",212,218,91
Togo,437,602,997,"6,475","26,285",29,"6,238,572",202,120,151
Tonga,74,83,156,"16,985","27,883",55,"99,361",28,112,38
Trinidad and Tobago,"1,036","1,882","3,216","12,170","35,582",26,"1,323,722",81,83,179
Tunisia,"4,684","12,374","22,562","13,508","29,713",27,"10,104,685",56,105,170
Turkey,"37,862","95,815","167,070","14,146","38,614",31,"72,969,723",49,75,133
Turkmenistan,226,268,399,"2,185","6,002",87,"4,833,266",222,220,21
Turks and Caicos Islands,17,20,28,"8,574","21,673",143,"24,459",168,150,7
Uganda,881,"1,284","2,584","5,812","15,190",33,"28,947,181",209,198,118
Ukraine,"75,547","230,541","388,637","11,402","28,180",38,"46,917,544",96,110,86
United Arab Emirates,"5,147","16,809","83,069","25,695","168,102",24,"4,104,291",3,2,197
United Kingdom,"126,025","338,164","649,424","10,544","56,108",42,"60,244,834",119,40,65
United Republic of Tanzania,"1,391","2,176","4,563","7,554","13,216",50,"38,477,873",186,205,47
United States,"673,744","1,382,017","2,865,741","11,984","67,859",44,"299,846,449",85,26,57
United States Virgin Islands,246,508,"1,038","7,560","26,808",66,"111,408",185,118,31
Uruguay,"2,248","3,739","7,839","12,442","27,845",37,"3,325,727",73,113,91
Uzbekistan,"8,241","14,395","27,255","8,994","16,741",35,"26,593,123",163,183,111
Vanuatu,95,156,391,"9,818","22,874",29,"215,366",140,145,151
Venezuela,"5,030","15,069","30,801","3,585","6,756",68,"26,725,573",217,219,30
Viet Nam,"41,042","105,620","209,010","19,066","38,578",27,"85,028,643",21,76,170
Wallis and Futuna Islands,1,1,1,"1,046","2,332",291,"15,079",226,226,4
Yemen,232,256,567,"3,143","3,554",86,"21,095,679",219,224,22
Zambia,773,"1,071","2,409","7,629","15,255",40,"11,478,317",183,196,76
Zimbabwe,626,804,"2,004","6,762","13,935",49,"13,119,679",198,203,48
