Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Cote d'Ivoire,"1,185","2,013","7,476","10,939","20,622",38,"18,584,701",136,170,84
Croatia,"16,624","58,645","113,229","16,421","82,646",28,"455,149",36,26,164
Cuba,688,996,"1,843","12,766","26,628",122,"11,259,905",96,140,8
Cyprus,"2,390","6,985","14,293","20,820","114,688",33,"836,321",16,12,118
Czech Republic,"14,185","25,023","43,402","18,188","54,331",30,"10,191,762",26,53,143
Democratic Republic of the Congo,504,736,"2,276","8,919","18,777",68,"58,740,547",181,182,22
Denmark,"17,219","31,872","61,556","21,624","101,590",23,"5,416,945",15,15,203
Djibouti,59,103,214,"8,373","37,883",66,"804,206",187,86,25
Dominica,53,63,78,"8,473","26,182",58,"67,827",186,143,31
Dominican Republic,"4,496","16,910","29,389","7,612","26,566",38,"9,469,601",197,141,84
Ecuador,"5,272","14,437","23,967","9,717","22,717",37,"13,060,993",165,161,90
Egypt,"14,089","52,411","84,218","10,029","22,108",37,"72,849,793",159,164,90
El Salvador,"3,413","13,367","26,328","9,692","24,681",31,"6,668,356",166,149,135
Equatorial Guinea,33,68,161,"7,579","14,776",47,"484,098",199,206,51
Estonia,"6,081","11,445","20,937","13,857","65,286",26,"1,344,312",70,37,181
Ethiopia,625,"1,280","3,188","17,677","26,973",52,"78,985,857",29,137,39
Faroe Islands,86,112,157,"25,960","71,072",15,"48,205",8,33,223
Fiji,618,"1,255","2,140","12,057","29,950",26,"828,046",106,119,181
Finland,"59,361","152,085","338,429","15,337","79,514",25,"5,246,004",40,27,191
France,"100,364","194,346","362,297","11,341","75,234",37,"60,990,544",120,30,90
French Guiana,204,317,629,"10,441","40,789",116,"192,099",153,77,9
French Polynesia,206,402,700,"11,239","27,250",21,"255,632",126,136,216
Gabon,271,381,807,"11,277","24,111",35,"1,290,693",123,154,106
Gambia,118,198,468,"4,241","14,362",37,"1,617,029",217,208,90
Georgia,"2,409","5,590","10,320","13,299","34,944",28,"4,473,409",82,96,164
Germany,"118,177","215,520","386,890","15,495","67,708",32,"82,652,369",39,34,128
Ghana,"1,789","2,402","5,541","12,822","15,702",44,"2,253,501",94,201,56
Gibraltar,21,85,117,"14,439","62,074",52,291,56,45,39
Greece,"18,478","75,346","138,317","13,196","64,923",30,"11,099,737",85,39,143
Greenland,100,139,310,"21,658","90,965",78,"57,475",14,20,15
Grenada,48,55,93,"9,319","45,301",72,"105,237",172,68,19
Guadeloupe,320,469,883,"10,277","47,440",93,"438,403",155,63,10
Guam,307,910,"1,700","8,475","29,534",42,"16,857",185,125,64
Guatemala,"6,186","15,139","26,981","14,185","23,833",27,"12,709,564",62,157,174
Guernsey,135,262,510,"14,112","38,349",27,0,64,85,174
Guinea,137,176,441,"6,834","11,391",83,"9,002,656",208,216,13
Guinea-Bissau,80,107,243,"14,025","26,970",30,"1,596,929",66,138,143
Guyana,297,542,961,"11,288","32,399",24,"739,472",122,110,196
Haiti,519,864,"2,406","9,571","17,952",34,"9,296,291",169,188,113
Holy See (Vatican City),6,260,568,"19,426","77,324",34,783,22,28,113
Honduras,"3,300","9,459","17,238","8,552","28,723",40,"683,411",184,131,72
Hong Kong,"1,521","42,934","95,934","13,666","73,323",21,"7,057,418",73,31,216
Hungary,"18,851","44,826","81,109","14,550","45,064",26,"10,086,387",53,70,181
Iceland,783,"1,130","1,911","23,261","138,383",24,"295,732",10,6,196
India,"438,360","1,608,300","3,397,609","6,104","19,200",51,"1,134,403,141",212,179,42
Indonesia,"164,862","739,109","1,829,150","10,872","18,614",43,"226,063,044",140,183,58
Iran (Islamic Republic of),"28,843","85,343","175,783","12,585","34,346",39,"69,420,607",98,97,77
Iraq,"8,000","17,851","43,621","20,338","41,542",29,"27,995,984",19,75,154
Ireland,"19,531","42,426","83,663","10,802","46,508",31,"4,143,294",141,65,135
Isle of Man,183,312,592,"10,736","29,632",48,"78,357",146,124,50
Israel,"8,560","48,898","91,686","13,284","43,287",29,"6,692,037",84,73,154
Italy,"160,882","579,474","1,202,317","11,893","49,899",43,"5,864,636",110,60,58
Jamaica,"1,159","1,951","3,673","11,558","37,188",30,"2,682,469",115,87,143
Japan,"54,027","124,292","302,946","11,250","53,917",44,"127,896,740",125,54,56
Jersey,111,197,371,"9,938","44,697",23,0,161,72,203
Jordan,"6,702","31,315","54,311","14,946","22,656",22,"5,544,066",46,162,212
Kazakhstan,"19,244","53,031","108,063","10,791","25,778",40,"15,210,609",142,145,72
Kenya,"3,439","6,308","11,987","11,724","21,583",36,"35,598,952",112,166,100
Kiribati,9,9,16,"5,736","16,490",426,"92,003",213,197,2
"Korea, Democratic People's Republic of",7,7,9,"8,034","56,310",76,"23,615,611",192,52,17
"Korea, Republic of","10,025","17,520","40,385","26,733","227,796",26,"47,869,837",6,1,181
Kuwait,"3,263","19,764","38,754","28,079","174,635",20,"2,700",3,3,219
Kyrgyzstan,"3,104","6,377","13,847","12,450","24,351",30,"5,203,547",99,152,143
Lao People's Democratic Republic,"4,647","9,304","20,335","13,335","28,559",31,"566,391",81,133,135
Latvia,"8,094","18,081","37,784","10,987","48,689",23,"2,301,793",133,62,203
Lebanon,"2,358","5,100","8,788","10,695","29,780",29,"401,074",148,122,154
Lesotho,122,179,805,"13,631","33,421",24,"1,980,831",75,103,196
Liberia,102,171,283,"11,365","18,994",32,"3,441,796",119,180,128
Libyan Arab Jamahiriya,"4,692","10,612","22,167","7,224","15,529",35,"5,918,217",206,202,106
Liechtenstein,153,292,573,"17,385","64,390",34,"34,598",31,42,113
Lithuania,"8,746","15,888","31,238","13,027","61,173",28,"3,425,077",91,46,164
Luxembourg,"1,153","2,537","4,318","16,688","82,917",28,"456,613",34,25,164
Macau,34,"1,143","3,588","20,499","47,219",21,"47,309",17,64,216
Madagascar,209,247,401,"6,383","15,949",70,"18,642,586",211,198,21
Malawi,323,434,914,"14,392","32,721",29,"13,226,091",57,109,154
Malaysia,"59,536","516,764","1,225,423","9,671","29,254",38,"25,652,985",168,127,84
Maldives,26,226,332,"19,903","62,303",37,"295,297",20,44,90
Mali,361,516,"1,309","12,840","23,996",47,"1,161,109",93,155,51
Malta,504,"2,027","3,432","13,156","50,026",27,"402,617",86,59,174
Martinique,249,383,789,"10,539","56,717",61,"395,896",150,51,30
Mauritania,372,704,"1,649","6,673","15,052",68,"2,963,105",210,204,22
Mauritius,"1,156","3,266","6,278","13,066","28,772",22,"1,241,173",88,129,212
Mayotte,31,40,56,"9,805","20,479",280,0,164,172,3
Mexico,"65,254","223,111","383,040","11,864","26,045",68,"104,266,392",111,144,22
"Micronesia, Federated States of",21,28,158,"1,060","11,742",157,"110,058",224,215,6
Monaco,30,138,252,"11,431","103,844",41,325,117,14,67
Mongolia,944,"1,585","5,118","12,187","21,400",41,"2,580,704",105,168,67
Montenegro,925,"2,436","4,439","14,727","39,186",23,"607,969",50,83,203
Montserrat,20,47,77,"10,472","38,954",38,"5,628",152,84,84
Morocco,"11,539","38,939","67,375","13,292","35,053",31,"30,494,991",83,94,135
Mozambique,"1,061","1,766","4,128","12,801","20,893",40,"20,532,675",95,169,72
Namibia,"1,254","2,037","3,956","14,007","24,623",29,"2,019,677",67,150,154
Nauru,8,9,12,"12,249","33,306",196,"10,111",104,104,5
Nepal,"2,216","3,487","5,309","12,429","20,550",36,"27,093,656",101,171,100
Netherlands,"24,973","45,774","74,578","22,049","101,065",26,"1,632,769",13,16,181
Netherlands Antilles,200,330,496,"17,740","51,819",29,"186,392",28,57,154
New Caledonia,111,139,220,"4,367","15,122",26,"234,185",215,203,181
New Zealand,"6,238","10,326","19,773","13,954","64,520",39,"4,097,112",69,41,77
Nicaragua,"2,775","7,759","13,987","10,932","22,948",37,"5,462,539",137,159,90
Niger,277,426,"1,241","4,692","13,305",63,"1,326,419",214,212,26
Nigeria,"5,433","8,620","20,569","10,550","22,172",50,"141,356,083",149,163,46
Northern Mariana Islands,82,157,242,"7,819","33,150",30,"80,258",194,107,143
Norway,"15,919","24,954","42,043","20,412","131,105",32,"4,638,836",18,7,128
Oman,"4,719","8,779","14,758","19,384","90,056",29,"2,507,042",23,21,154
Pakistan,"39,733","155,551","299,873","11,419","19,358",37,"158,080,591",118,178,90
Palau,30,74,141,"15,963","34,068",25,"20,127",37,99,191
Palestine,901,"6,719","13,779","9,822","28,724",36,"3,762,005",163,130,100
Panama,"3,179","10,264","19,766","11,717","19,990",31,"3,231,502",113,175,135
Papua New Guinea,325,551,"1,338","13,826","31,138",72,"6,069,715",71,115,19
Paraguay,"3,852","7,506","11,955","8,941","19,662",40,"5,904,342",180,177,72
Peru,"14,441","54,179","121,353","11,551","20,037",57,"27,274,266",116,174,33
Philippines,"64,089","483,979","1,135,355","7,366","23,995",35,"84,566,163",203,156,106
Poland,"74,387","156,042","301,853","10,974","52,845",32,"38,195,558",134,55,128
Portugal,"15,064","32,044","53,168","13,130","59,827",35,"10,528,226",87,48,106
Puerto Rico,"7,465","31,542","67,194","10,873","64,958",42,"3,946,779",139,38,64
Qatar,"2,131","8,063","15,186","26,761","157,968",24,"796,186",5,5,196
Republic of Moldova,"2,064","4,453","7,598","11,297","39,851",25,"3,876,661",121,82,191
Reunion,354,528,"1,269","13,469","59,436",76,"785,159",78,49,17
Romania,"22,848","65,306","122,452","11,189","36,373",33,"21,627,557",128,90,118
Russia,"276,826","783,459","1,647,975","9,938","26,730",43,"143,953,092",161,139,58
Rwanda,328,549,"1,392","7,589","22,021",30,"9,233,793",198,165,143
Saint Barthelemy,83,198,369,"9,311","29,652",52,0,173,123,39
Saint Kitts and Nevis,54,77,158,"7,819","25,269",83,"49,138",194,147,13
Saint Lucia,109,172,330,"10,772","35,354",46,"16,124",143,93,54
Saint Martin,51,97,174,"11,135","40,347",63,0,129,79,26
Saint Pierre and Miquelon,6,7,7,"32,180","127,376",15,"6,346",2,8,223
Saint Vincent and the Grenadines,49,72,138,"10,429","31,580",39,"119,137",154,114,77
Samoa,84,123,214,"13,387","28,693",17,"183,845",80,132,221
San Marino,91,208,306,"10,707","32,008",37,"30,214",147,112,90
Sao Tome and Principe,4,6,9,"1,178","3,938",32,"152,622",223,224,128
Saudi Arabia,"34,935","144,046","285,638","22,099","121,649",36,"2,361,236",12,9,100
Senegal,626,"1,047","2,539","15,172","32,233",33,"1,177,034",44,111,118
Serbia,"10,829","27,779","50,468","14,321","45,662",23,"9,863,026",59,67,203
Seychelles,43,79,131,"17,213","57,899",58,"85,532",33,50,31
Sierra Leone,280,638,"2,288","9,249","21,477",42,"5,586,403",175,167,64
Singapore,"1,172","22,709","45,638","18,602","83,632",22,"4,327,468",25,24,212
Slovakia,"8,033","14,504","24,645","11,273","40,239",26,"5,386,995",124,80,181
Slovenia,"6,244","13,911","25,257","13,053","64,316",23,"1,999,425",89,43,203
Solomon Islands,28,40,78,"10,038","14,724",23,"472,419",158,207,203
Somalia,502,"1,002","3,231","13,406","16,672",57,"8,196,395",79,195,33
South Africa,"26,789","59,734","117,102","11,019","45,132",33,"47,938,663",132,69,118
Spain,"35,417","79,285","149,250","12,692","45,899",47,"43,397,491",97,66,51
Sri Lanka,"15,159","37,406","84,480","7,302","16,869",27,"19,120,763",205,193,174
Sudan,"1,170","2,447","5,456","8,105","13,591",54,"36,899,747",191,211,37
Suriname,581,"1,260","2,883","14,208","29,835",25,"452,468",60,120,191
Swaziland,115,158,363,"15,222","19,926",33,"1,124,529",43,176,118
Sweden,"10,430","14,586","25,876","15,255","75,433",33,"9,038,049",41,29,118
Switzerland,"16,856","41,626","78,067","24,422","116,240",24,"7,424,389",9,10,196
Syrian Arab Republic,"3,031","7,073","13,258","7,351","16,794",56,"18,893,881",204,194,36
Taiwan,"26,957","420,048","1,098,502","17,634","89,332",23,0,30,22,203
Tajikistan,"1,873","4,368","10,078","6,703","14,204",35,"6,550,213",209,209,106
Thailand,"110,752","454,004","1,121,064","14,102","41,279",31,"63,002,911",65,76,135
The former Yugoslav Republic of Macedonia,"2,902","10,655","19,218","16,526","52,012",25,"2,033,655",35,56,191
Timor-Leste,267,701,"2,240","4,081","8,134",28,"1,067,285",218,218,164
Togo,540,831,"1,537","7,858","34,175",57,"6,238,572",193,98,33
Tonga,30,34,46,"14,487","29,032",77,"99,361",54,128,16
Trinidad and Tobago,"1,067","2,129","3,707","12,435","35,849",24,"1,323,722",100,92,196
Tunisia,"5,058","15,419","27,899","15,067","33,201",26,"10,104,685",45,105,181
Turkey,"33,957","95,939","160,192","15,233","41,930",36,"72,969,723",42,74,100
Turkmenistan,275,332,490,"2,011","4,322",50,"4,833,266",222,223,46
Turks and Caicos Islands,12,18,30,"8,143","33,471",144,"24,459",190,102,7
Uganda,"1,125","1,717","3,856","7,639","15,792",35,"28,947,181",196,199,106
Ukraine,"51,875","134,270","250,654","13,571","33,887",38,"46,917,544",77,100,84
United Arab Emirates,"5,392","20,161","112,151","27,802","185,650",29,"4,104,291",4,2,154
United Kingdom,"118,053","335,612","621,702","11,086","64,885",43,"60,244,834",131,40,58
United Republic of Tanzania,"1,304","2,046","4,137","7,375","13,279",41,"38,477,873",202,213,67
United States,"652,965","1,369,774","2,821,429","13,641","94,771",43,"299,846,449",74,18,58
United States Virgin Islands,213,431,729,"8,194","37,007",51,"111,408",189,88,42
Uruguay,"2,350","4,054","9,950","14,331","34,963",38,"3,325,727",58,95,84
Uzbekistan,"9,130","16,925","34,852","10,749","18,289",33,"26,593,123",145,185,118
Vanuatu,76,126,289,"10,497","29,400",33,"215,366",151,126,118
Venezuela,"5,007","15,700","29,672","4,268","7,693",54,"26,725,573",216,221,37
Viet Nam,"46,321","114,577","249,317","19,349","40,080",28,"85,028,643",24,81,164
Yemen,260,311,603,"3,079","5,473",62,"21,095,679",220,222,28
Zambia,730,976,"2,160","9,043","17,446",35,"11,478,317",177,190,106
Zimbabwe,907,"1,177","3,545","9,683","18,098",40,"13,119,679",167,187,72
