Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,774,"1,103","2,715","3,447","7,919",62,"25,067,407",219,220,28
Albania,"1,928","5,220","9,329","12,422","44,850",26,"3,153,731",102,71,181
Algeria,"17,822","60,501","144,341","10,071","16,925",41,"32,854,159",157,192,67
American Samoa,14,14,19,"8,207","14,836",33,"64,051",188,205,118
Andorra,55,108,178,"22,979","115,808",39,"73,483",11,11,77
Angola,646,944,"2,436","10,126","22,886",41,"16,095,214",156,160,67
Anguilla,21,29,84,"7,471","18,947",51,"12,256",200,181,42
Antigua and Barbuda,205,458,963,"12,368","40,618",51,"83,039",103,78,42
Argentina,"21,212","40,662","68,667","9,005","26,375",43,"38,747,148",178,142,58
Armenia,"2,426","8,242","14,266","11,223","30,920",23,"3,017,661",127,116,203
Aruba,172,404,"1,015","19,816","73,191",27,"102,897",21,32,174
Australia,"52,262","147,883","290,624","14,603","110,447",28,"20,310,208",52,13,164
Austria,"24,118","54,735","108,378","15,657","66,187",27,"8,291,979",38,35,174
Azerbaijan,"4,088","10,261","15,670","11,927","32,829",27,"8,352,021",109,108,174
Bahamas,295,444,807,"11,640","33,188",37,"323,295",114,106,90
Bahrain,954,"10,258","20,201","17,288","92,555",22,"724,788",32,19,212
Bangladesh,"22,999","51,756","111,161","9,384","13,223",49,"15,328,112",171,214,49
Barbados,83,108,276,"9,994","33,859",28,"291,933",160,101,164
Belarus,"13,060","29,695","62,657","8,895","18,226",34,"9,795,287",182,186,113
Belgium,"10,636","16,096","24,443","14,195","59,927",33,"10,398,049",61,47,118
Belize,239,337,504,"7,447","17,792",31,"275,546",201,189,135
Benin,393,556,"1,375","13,978","24,140",26,"8,490,301",68,153,181
Bermuda,33,50,95,"13,043","51,324",20,"64,174",90,58,219
Bhutan,285,566,"2,285","14,441","48,716",31,"637,013",55,61,135
Bolivia,"5,851","19,790","33,720","11,093","20,272",39,"9,182,015",130,173,77
Bosnia and Herzegovina,"5,283","11,274","18,315","13,607","31,745",30,"3,915,238",76,113,143
Botswana,746,"1,250","3,326","14,619","30,569",29,"1,835,938",51,117,154
Brazil,"112,513","415,343","731,786","9,266","29,813",45,"186,830,759",174,121,55
British Virgin Islands,58,98,146,"10,769","36,973",89,"22,016",144,89,11
Brunei Darussalam,745,"1,899","3,598","26,628","65,673",17,"373,831",7,36,221
Bulgaria,"9,194","31,255","55,843","14,913","97,537",28,"7,744,591",48,17,164
Burkina Faso,397,614,"1,232","12,040","18,531",39,"13,933,363",107,184,77
Burma,"14,650","27,957","66,752","13,722","23,382",50,"47,967,266",72,158,46
Burundi,172,302,782,"7,135","8,752",32,"7,858,791",207,217,128
Cambodia,"10,515","26,136","62,797","11,930","16,551",30,"13,955,507",108,196,143
Cameroon,573,"1,099","3,226","8,818","17,022",34,"17,795,149",183,191,113
Canada,"49,295","83,420","175,989","14,800","87,720",36,"32,270,507",49,23,100
Cape Verde,107,196,375,"14,167","27,437",30,"506,807",63,135,143
Cayman Islands,62,96,218,"13,022","36,256",30,"45,591",92,91,143
Central African Republic,22,30,79,"2,589","8,019",434,"4,191,429",221,219,1
Chad,105,195,541,"18,090","25,315",24,"10,145,609",27,146,196
Chile,"23,408","89,449","203,835","10,895","24,424",39,"16,295,102",138,151,77
China,"251,057","577,042","2,735,382","33,230","165,648",29,"1,312,978,855",1,4,154
Colombia,"20,379","107,408","264,411","8,947","15,773",84,"4,494,579",179,200,12
Comoros,40,71,244,"9,117","14,053",213,"797,902",176,210,4
Congo,82,100,372,"10,961","25,205",28,"3,609,851",135,148,164
Cook Islands,19,28,48,"14,916","30,007",37,"13,984",47,118,90
Costa Rica,"5,564","21,446","33,197","9,436","27,897",32,"4,327,228",170,134,128
