Name,Number of Record,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Turkey,"42,725","111,964","181,177","14,415","38,929",37,"72,969,723",47,75,97
Turkmenistan,196,213,300,"2,478","5,874",54,"4,833,266",220,221,40
Turks and Caicos Islands,11,12,12,"12,072","46,368",129,"24,459",86,58,8
Uganda,"1,195","1,711","3,716","6,697","13,754",35,"28,947,181",204,208,110
Ukraine,"58,515","151,392","264,832","11,993","28,289",40,"46,917,544",89,121,79
United Arab Emirates,"5,571","19,447","92,552","25,378","173,488",26,"4,104,291",4,2,185
United Kingdom,"128,483","361,157","662,599","10,384","57,587",43,"60,244,834",135,42,67
United Republic of Tanzania,"1,585","2,466","5,410","7,222","11,712",47,"38,477,873",199,211,53
United States,"679,990","1,407,901","2,882,808","12,056","76,600",44,"299,846,449",87,23,60
United States Virgin Islands,216,414,774,"7,081","31,573",57,"111,408",201,101,34
Uruguay,"2,164","3,535","7,096","13,669","30,345",39,"3,325,727",57,103,87
Uzbekistan,"7,961","13,499","26,139","9,921","17,572",32,"26,593,123",145,183,128
Vanuatu,87,142,250,"9,574","24,399",40,"215,366",155,145,79
Venezuela,"5,089","16,114","31,758","3,696","6,594",53,"26,725,573",216,220,43
Viet Nam,"43,711","93,855","222,800","18,624","39,583",28,"85,028,643",20,72,165
Wallis and Futuna Islands,1,1,1,"1,165","2,237",284,"15,079",222,224,3
Yemen,254,287,535,"5,406","6,875",81,"21,095,679",211,218,18
Zambia,820,"1,112","2,549","8,651","15,638",36,"11,478,317",174,197,104
Zimbabwe,771,981,"2,452","6,402","12,357",55,"13,119,679",207,209,38
