Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,842,"1,437","2,954","2,585","5,369",78,"25,067,407",219,220,21
Albania,"2,249","6,493","10,782","12,177","38,350",25,"3,153,731",76,60,179
Algeria,"17,220","58,478","146,920","8,738","13,273",41,"32,854,159",159,194,71
American Samoa,24,28,37,"7,435","14,558",17,"64,051",187,185,223
Andorra,46,76,129,"19,882","103,516",25,"73,483",14,6,179
Angola,667,875,"2,289","9,463","18,400",56,"16,095,214",145,147,40
Anguilla,39,50,121,"9,865","21,420",53,"12,256",134,132,44
Antigua and Barbuda,254,605,"1,287","11,006","32,217",59,"83,039",107,85,35
Argentina,"23,179","45,866","78,221","8,702","23,652",44,"38,747,148",161,121,57
Armenia,"2,423","7,970","14,880","9,942","25,008",22,"3,017,661",132,117,200
Aruba,163,358,861,"20,915","68,868",21,"102,897",11,16,209
Australia,"52,609","160,668","311,349","13,891","84,053",27,"20,310,208",44,12,159
Austria,"24,461","54,167","110,507","14,181","50,876",26,"8,291,979",38,34,168
Azerbaijan,"3,699","8,540","13,665","12,374","31,611",26,"8,352,021",74,86,168
Bahamas,323,467,887,"11,399","26,673",29,"323,295",99,108,144
Bahrain,935,"9,294","17,268","14,706","64,788",22,"724,788",35,21,200
Bangladesh,"22,681","52,638","116,642","6,879","9,288",41,"15,328,112",192,212,71
Barbados,81,96,246,"17,044","37,741",18,"291,933",22,62,218
Belarus,"12,225","30,333","62,651","8,210","15,978",34,"9,795,287",171,176,102
Belgium,"10,122","14,116","22,354","14,554","57,479",26,"10,398,049",36,29,168
Belize,301,435,705,"7,687","18,029",32,"275,546",182,154,117
Benin,471,691,"1,441","8,433","14,922",37,"8,490,301",166,182,89
Bermuda,32,47,83,"11,075","41,217",18,"64,174",106,50,218
Bhutan,326,435,944,"8,403","14,689",35,"637,013",167,184,99
Bolivia,"5,385","19,890","34,500","9,150","14,284",37,"9,182,015",153,188,89
Bosnia and Herzegovina,"5,241","11,483","18,365","12,018","27,661",28,"3,915,238",82,105,149
Botswana,466,729,"1,687","11,790","17,652",34,"1,835,938",88,159,102
Brazil,"117,249","446,744","804,748","8,677","24,696",46,"186,830,759",162,120,52
British Virgin Islands,65,105,163,"11,786","35,473",75,"22,016",89,68,25
Brunei Darussalam,676,"1,797","3,348","17,602","35,302",21,"373,831",20,69,209
Bulgaria,"7,814","22,395","41,579","14,068","65,011",26,"7,744,591",40,20,168
Burkina Faso,363,558,"1,310","9,588","14,022",80,"13,933,363",138,190,20
Burma,"28,797","84,168","372,405","11,443","17,247",88,"47,967,266",97,165,16
Burundi,85,152,361,"6,684","7,505",26,"7,858,791",194,215,168
Cambodia,"7,737","21,977","56,013","10,819","14,267",32,"13,955,507",112,189,117
Cameroon,466,910,"3,409","9,551","19,874",35,"17,795,149",140,145,99
Canada,"46,729","77,508","140,795","13,779","86,211",34,"32,270,507",47,11,102
Cape Verde,103,211,345,"11,451","21,982",25,"506,807",96,128,179
Cayman Islands,64,92,181,"9,577","30,249",33,"45,591",139,92,112
Central African Republic,17,23,50,"1,265","2,033",335,"4,191,429",222,223,3
Chad,64,90,235,"9,324","13,170",70,"10,145,609",148,195,30
Chile,"25,837","88,554","222,762","9,635","15,368",44,"16,295,102",136,178,57
China,"268,450","624,315","1,535,786","29,200","138,386",28,"1,312,978,855",1,3,149
Colombia,"17,001","90,682","217,172","7,422","12,764",60,"4,494,579",188,199,34
Comoros,21,34,89,"12,003","11,680",170,"797,902",83,201,6
Congo,189,257,792,"8,296","17,716",34,"3,609,851",170,158,102
