Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,659,"1,039","2,418","2,861","5,920",78,"25,067,407",220,223,26
Albania,"2,253","6,723","11,573","13,627","45,171",24,"3,153,731",53,45,197
Algeria,"14,759","48,326","121,338","8,280","11,765",41,"32,854,159",173,208,80
American Samoa,20,27,57,"4,933","15,934",59,"64,051",212,178,40
Andorra,43,85,364,"26,300","167,124",20,"73,483",5,2,221
Angola,623,838,"2,062","9,608","19,025",44,"16,095,214",143,155,67
Anguilla,32,39,77,"11,430","24,229",64,"12,256",95,126,32
Antigua and Barbuda,222,559,"1,246","10,664","32,398",53,"83,039",113,82,47
Argentina,"23,455","48,062","82,646","8,981","24,556",44,"38,747,148",154,124,67
Armenia,"2,083","6,366","11,761","10,379","25,148",23,"3,017,661",125,120,202
Aruba,168,412,"1,064","20,227","67,310",25,"102,897",14,18,194
Australia,"52,202","163,863","310,200","14,447","84,252",27,"20,310,208",37,11,172
Austria,"25,045","55,198","109,929","14,251","51,333",26,"8,291,979",43,34,177
Azerbaijan,"2,999","6,743","10,653","12,810","29,874",29,"8,352,021",72,92,159
Bahamas,343,548,"1,087","10,284","26,549",30,"323,295",129,112,146
Bahrain,957,"11,161","21,171","14,625","67,958",23,"724,788",33,17,202
Bangladesh,"23,781","55,872","123,503","6,585","9,204",44,"15,328,112",197,216,67
Barbados,99,121,232,"10,690","31,392",27,"291,933",112,86,172
Belarus,"12,883","33,763","69,303","8,259","14,994",37,"9,795,287",175,188,95
Belgium,"9,723","13,567","21,335","14,619","56,434",28,"10,398,049",34,26,165
Belize,305,460,780,"8,557","19,676",28,"275,546",167,150,165
Benin,404,584,"1,416","6,089","14,624",60,"8,490,301",201,189,38
Bermuda,38,62,89,"11,099","35,859",34,"64,174",103,72,113
Bhutan,246,385,809,"8,836","15,555",40,"637,013",159,184,85
Bolivia,"5,043","19,369","33,347","9,864","15,859",35,"9,182,015",135,181,109
Bosnia and Herzegovina,"4,792","10,680","17,244","12,076","28,663",27,"3,915,238",85,96,172
Botswana,523,726,"1,305","12,087","21,326",37,"1,835,938",84,140,95
Brazil,"120,429","491,448","868,859","8,801","24,479",47,"186,830,759",161,125,53
British Virgin Islands,59,122,221,"12,733","32,780",81,"22,016",74,80,21
Brunei Darussalam,705,"1,883","4,404","15,686","26,084",21,"373,831",26,116,215
Bulgaria,"7,008","18,523","31,180","14,174","62,234",28,"7,744,591",45,21,165
Burkina Faso,385,615,"1,382","11,295","20,518",79,"13,933,363",98,143,24
Burma,"19,502","47,764","265,722","13,309","19,596",38,"47,967,266",60,152,92
Burundi,109,184,417,"6,819","8,059",32,"7,858,791",195,218,127
Cambodia,"7,765","22,320","52,468","11,491","15,839",33,"13,955,507",94,182,123
Cameroon,434,764,"2,181","8,692","16,862",32,"17,795,149",164,169,127
Canada,"48,899","86,727","165,891","13,830","84,597",35,"32,270,507",49,10,109
