Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,664,"1,002","2,455","3,255","6,419",70,"25,067,407",219,221,26
Albania,"1,927","5,341","8,168","12,528","42,206",28,"3,153,731",69,44,177
Algeria,"14,321","43,438","108,428","7,561","10,621",42,"32,854,159",181,207,86
American Samoa,23,28,47,"8,902","27,685",68,"64,051",148,96,28
Andorra,43,73,238,"22,406","123,568",26,"73,483",7,4,187
Angola,552,720,"1,977","8,837","18,661",49,"16,095,214",152,155,49
Anguilla,29,31,87,"8,331","21,922",47,"12,256",165,131,58
Antigua and Barbuda,228,546,"1,086","10,318","29,683",31,"83,039",114,84,151
Argentina,"23,701","50,923","92,367","8,853","24,133",45,"38,747,148",151,122,67
Armenia,"2,910","9,582","17,765","10,006","24,537",25,"3,017,661",125,118,195
Aruba,184,404,812,"20,128","64,412",22,"102,897",10,18,214
Australia,"50,425","143,313","316,627","13,552","70,812",26,"20,310,208",44,14,187
Austria,"26,136","55,664","95,149","14,313","52,220",29,"8,291,979",34,24,169
Azerbaijan,"4,430","10,703","16,720","12,095","30,835",30,"8,352,021",78,79,157
Bahamas,338,542,941,"11,432","28,385",30,"323,295",95,93,157
Bahrain,941,"9,894","19,341","12,976","49,669",22,"724,788",56,30,214
Bangladesh,"21,696","54,281","120,099","6,172","9,469",48,"15,328,112",199,211,52
Barbados,78,87,315,"13,481","39,597",20,"291,933",45,49,221
Belarus,"16,375","39,863","76,966","6,892","12,650",39,"9,795,287",195,199,100
Belgium,"9,882","14,071","21,575","14,485","51,765",30,"10,398,049",33,26,157
Belize,292,416,684,"8,418","19,394",28,"275,546",162,148,177
Benin,375,546,"1,120","6,491","12,973",56,"8,490,301",197,197,41
Bermuda,53,65,100,"12,946","46,532",43,"64,174",57,35,81
Bhutan,224,414,"1,025","7,918","13,766",53,"637,013",170,189,43
Bolivia,"4,804","20,514","37,748","9,349","16,337",37,"9,182,015",142,170,113
Bosnia and Herzegovina,"5,127","11,468","18,000","11,757","27,131",29,"3,915,238",88,102,169
Botswana,615,927,"2,305","12,037","18,314",48,"1,835,938",81,159,52
Brazil,"123,080","526,693","964,144","8,629","24,319",49,"186,830,759",157,120,49
British Virgin Islands,79,134,288,"9,629","26,944",40,"22,016",133,103,91
Brunei Darussalam,685,"1,764","3,241","13,105","18,651",25,"373,831",52,156,195
Bulgaria,"7,584","17,776","29,117","13,005","54,851",33,"7,744,591",54,23,137
Burkina Faso,311,543,"1,422","11,693","23,220",68,"13,933,363",90,127,28
Burma,"16,145","41,037","157,767","12,860","20,421",35,"47,967,266",62,140,122
Burundi,98,169,349,"7,108","8,829",46,"7,858,791",193,212,62
Cambodia,"8,697","25,139","58,153","11,985","15,174",35,"13,955,507",86,177,122
Cameroon,601,"1,053","2,270","7,657","13,144",36,"17,795,149",178,195,117
Canada,"56,185","96,403","237,255","13,128","73,907",39,"32,270,507",51,11,100
Cape Verde,80,189,378,"12,019","24,259",29,"506,807",83,121,169
Cayman Islands,53,85,194,"7,858","32,997",33,"45,591",171,72,137
Central African Republic,10,10,20,"3,613","7,418",414,"4,191,429",217,218,2
Chad,59,83,221,"11,942","21,312",44,"10,145,609",87,136,73
Chile,"21,455","80,770","220,343","10,372","17,462",44,"16,295,102",113,164,73
China,"291,938","823,144","1,896,441","26,874","121,084",32,"1,312,978,855",3,5,143
Colombia,"15,171","86,119","207,492","7,202","15,394",51,"4,494,579",191,175,46
Comoros,18,29,110,"5,830","24,101",152,"797,902",203,123,7
Congo,132,218,894,"9,560","23,018",29,"3,609,851",135,128,169
Cook Islands,27,41,95,"19,831","35,860",22,"13,984",11,60,214
Costa Rica,"5,803","25,234","45,062","7,290","19,215",34,"4,327,228",188,150,130
Cote d'Ivoire,"1,009","1,648","6,120","10,828","15,852",31,"18,584,701",105,174,151
Croatia,"18,308","55,541","107,368","12,944","51,383",38,"455,149",58,27,106
Cuba,348,429,761,"11,451","23,710",93,"11,259,905",94,126,17
Cyprus,"1,862","3,694","6,463","12,942","37,576",34,"836,321",59,55,130
Czech Republic,"15,389","23,920","40,380","14,662","41,355",34,"10,191,762",31,47,130
Democratic Republic of the Congo,258,367,972,"9,261","15,893",64,"58,740,547",144,173,33
Denmark,"19,958","36,644","73,738","17,627","58,127",26,"5,416,945",18,20,187
Djibouti,26,37,63,"5,923","23,980",34,"804,206",202,124,130
Dominica,39,55,96,"8,171","28,642",69,"67,827",167,92,27
Dominican Republic,"4,289","16,265","30,584","8,316","25,205",39,"9,469,601",166,114,100
Ecuador,"5,090","15,716","26,160","9,367","18,941",40,"13,060,993",141,153,91
Egypt,"17,849","70,879","133,573","8,424","17,091",42,"72,849,793",161,167,86
El Salvador,"2,762","12,348","28,130","6,155","14,154",43,"6,668,356",200,184,81
Equatorial Guinea,59,95,322,"3,389","8,698",35,"484,098",218,213,122
Estonia,"7,576","13,594","23,765","12,109","44,197",29,"1,344,312",76,43,169
Ethiopia,442,839,"1,778","11,355","17,302",47,"78,985,857",96,166,58
Faroe Islands,160,226,349,"27,980","73,161",25,"48,205",2,13,195
Fiji,594,"1,231","2,783","12,587","28,689",29,"828,046",66,91,169
Finland,"72,424","177,527","370,054","11,469","42,163",30,"5,246,004",92,45,157
