Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
France,"107,666","187,321","329,081","9,905","44,819",40,"60,990,544",128,41,91
French Guiana,98,144,273,"9,065","30,749",168,"192,099",146,80,6
French Polynesia,177,350,525,"9,509","16,250",25,"255,632",136,171,195
Gabon,126,166,272,"7,436","17,352",67,"1,290,693",183,165,31
Gambia,50,71,204,"7,112","11,021",21,"1,617,029",192,205,219
Georgia,"2,424","4,293","7,636","12,573","27,454",30,"4,473,409",68,100,157
Germany,"118,501","201,003","345,199","11,600","39,855",36,"82,652,369",91,48,117
Ghana,"1,342","1,843","4,704","7,735","14,098",42,"2,253,501",176,185,86
Gibraltar,24,86,153,"14,139","39,116",67,291,36,52,31
Greece,"18,569","51,209","85,575","10,978","34,783",35,"11,099,737",100,64,122
Greenland,99,133,249,"23,794","58,088",135,"57,475",4,21,9
Grenada,57,77,133,"5,610","20,072",120,"105,237",205,145,11
Guadeloupe,211,275,447,"12,000","55,839",98,"438,403",84,22,15
Guam,357,933,"2,363","7,252","21,506",44,"16,857",190,133,73
Guatemala,"4,952","16,654","32,802","12,981","19,247",40,"12,709,564",55,149,91
Guernsey,176,377,899,"14,101","48,150",32,0,37,33,143
Guinea,136,161,400,"6,771","14,420",82,"9,002,656",196,181,22
Guinea-Bissau,32,47,87,"10,072","25,420",25,"1,596,929",123,112,195
Guyana,217,325,552,"3,798","11,129",31,"739,472",216,204,151
Haiti,505,847,"2,439","7,821","14,234",38,"9,296,291",175,183,106
Holy See (Vatican City),6,161,245,"19,419","73,359",34,783,12,12,130
Honduras,"3,752","11,052","22,805","8,661","19,484",48,"683,411",156,147,52
Hong Kong,"1,438","42,573","115,995","13,572","59,102",22,"7,057,418",43,19,214
Hungary,"20,410","47,610","81,476","12,904","37,485",28,"10,086,387",60,56,177
Iceland,"1,039","1,376","2,189","17,408","77,630",25,"295,732",19,9,195
India,"488,737","2,250,520","5,933,452","5,054","12,929",57,"1,134,403,141",209,198,40
Indonesia,"148,495","723,583","1,857,161","9,645","13,849",49,"226,063,044",132,188,49
Iran (Islamic Republic of),"19,287","48,630","100,374","12,614","27,987",40,"69,420,607",65,94,91
Iraq,"3,422","5,256","10,563","4,982","9,983",64,"27,995,984",211,208,33
Ireland,"23,463","48,395","106,823","7,981","25,368",35,"4,143,294",169,113,122
Isle of Man,251,478,902,"12,082","22,720",46,"78,357",80,129,62
Israel,"8,507","48,047","97,267","12,467","23,872",38,"6,692,037",71,125,106
Italy,"183,161","670,457","1,350,556","10,709","35,484",43,"5,864,636",108,61,81
Jamaica,"1,336","2,349","4,942","10,594","31,609",44,"2,682,469",109,76,73
Japan,"46,810","105,131","243,339","9,389","29,593",46,"127,896,740",140,86,62
Jersey,120,244,363,"12,088","42,020",32,0,79,46,143
Jordan,"6,326","32,602","54,833","15,677","21,341",25,"5,544,066",25,134,195
Kazakhstan,"18,784","45,595","90,200","8,495","16,763",44,"15,210,609",159,168,73
Kenya,"2,786","5,282","11,122","11,025","18,796",42,"35,598,952",99,154,86
Kiribati,10,11,21,"10,892","29,619",185,"92,003",104,85,5
"Korea, Democratic People's Republic of",4,4,6,"12,104","24,327",94,"23,615,611",77,119,16
"Korea, Republic of","9,327","16,586","31,886","22,762","158,369",30,"47,869,837",6,1,157
Kuwait,"3,246","30,393","71,337","19,324","100,237",22,"2,700",13,6,214
Kyrgyzstan,"3,299","6,165","12,731","10,025","20,205",33,"5,203,547",124,143,137
Lao People's Democratic Republic,"5,149","12,211","26,120","12,849","25,547",37,"566,391",63,111,113
Latvia,"8,689","17,580","33,454","10,279","33,489",26,"2,301,793",116,69,187
Lebanon,"2,249","4,239","6,325","12,579","39,164",25,"401,074",67,51,195
Lesotho,153,212,926,"17,770","34,747",24,"1,980,831",17,65,209
Liberia,81,111,309,"10,505","18,618",35,"3,441,796",111,157,122
Libyan Arab Jamahiriya,"3,641","7,963","16,477","5,965","13,008",45,"5,918,217",201,196,67
Liechtenstein,123,221,440,"14,742","46,189",32,"34,598",29,36,143
Lithuania,"8,764","14,984","25,865","12,112","47,820",29,"3,425,077",75,34,169
Luxembourg,"1,040","1,964","3,270","15,176","49,021",30,"456,613",27,31,157
Macau,35,"1,693","6,292","30,252","124,490",20,"47,309",1,3,221
Madagascar,120,141,283,"10,219","26,742",61,"18,642,586",118,105,35
Malawi,392,550,"1,185","13,802","25,989",29,"13,226,091",41,109,169
Malaysia,"54,115","570,511","1,350,520","9,450","21,239",40,"25,652,985",137,138,91
Maldives,27,366,640,"12,490","32,601",23,"295,297",70,74,210
Mali,217,332,866,"12,202","29,005",25,"1,161,109",74,89,195
Malta,493,"1,348","1,979","12,875","37,165",26,"402,617",61,57,187
Martinique,237,311,468,"10,535","46,022",89,"395,896",110,38,20
Mauritania,142,179,303,"1,528","3,462",106,"2,963,105",222,223,14
Mauritius,901,"2,346","4,322","13,234","30,105",28,"1,241,173",50,83,177
Mexico,"61,094","230,263","409,711","12,453","24,635",51,"104,266,392",72,117,46
"Micronesia, Federated States of",20,28,58,"4,760","17,625",25,"110,058",212,162,195
Monaco,34,132,287,"9,301","68,942",44,325,143,15,73
Mongolia,829,"1,200","2,892","14,935","21,590",46,"2,580,704",28,132,62
Montenegro,"1,123","2,708","4,539","13,645","33,620",25,"607,969",42,68,195
Montserrat,9,9,12,"5,511","9,770",43,"5,628",206,209,81
Morocco,"10,950","38,732","65,203","13,467","32,749",30,"30,494,991",46,73,157
Mozambique,"1,218","2,347","6,831","10,253","18,990",38,"20,532,675",117,152,106
Namibia,762,"1,451","2,809","11,224","17,594",35,"2,019,677",98,163,122
Nauru,12,19,45,"8,890","18,414",269,"10,111",149,158,4
Nepal,"2,316","3,534","6,922","9,942","16,076",40,"27,093,656",126,172,91
Netherlands,"31,131","62,558","108,475","17,216","76,484",28,"1,632,769",20,10,177
Netherlands Antilles,198,282,421,"16,431","48,353",30,"186,392",23,32,157
New Caledonia,89,113,209,"3,985","18,314",25,"234,185",214,159,195
New Zealand,"6,250","10,498","19,329","13,350","49,697",40,"4,097,112",48,29,91
Nicaragua,"2,625","6,681","11,469","7,653","14,595",35,"5,462,539",179,179,122
Niger,149,209,480,"5,619","6,845",137,"1,326,419",204,219,8
Nigeria,"5,016","8,408","22,263","7,510","14,339",50,"141,356,083",182,182,48
Niue,2,2,2,"5,034","7,961",624,"1,632",210,215,1
Northern Mariana Islands,101,239,403,"7,282","20,309",31,"80,258",189,142,151
Norway,"18,477","26,051","45,107","14,708","68,295",37,"4,638,836",30,16,113
Oman,"4,846","8,739","15,337","13,830","36,118",30,"2,507,042",39,59,157
Pakistan,"38,140","169,059","337,092","10,906","16,605",39,"158,080,591",103,169,100
Palau,20,48,74,"23,768","25,935",19,"20,127",5,110,224
Palestine,945,"6,358","13,866","8,951","14,428",37,"3,762,005",147,180,113
Panama,"3,123","10,071","21,984","9,726","15,343",32,"3,231,502",130,176,143
Papua New Guinea,231,391,"1,224","11,994","26,243",90,"6,069,715",85,107,18
Paraguay,"4,309","10,504","20,106","8,470","14,010",44,"5,904,342",160,186,73
Peru,"12,508","52,923","136,705","10,458","17,959",71,"27,274,266",112,161,25
Philippines,"47,516","298,131","839,896","5,333","10,941",46,"84,566,163",208,206,62
Poland,"85,348","174,033","317,824","8,881","35,271",36,"38,195,558",150,63,117
Portugal,"16,035","28,446","45,603","9,425","29,570",38,"10,528,226",139,87,106
Puerto Rico,"8,412","39,400","93,788","8,794","31,298",54,"3,946,779",153,77,42
Qatar,"2,298","10,488","20,912","20,339","92,297",23,"796,186",9,7,210
Republic of Moldova,"2,084","4,019","6,556","10,096","33,674",27,"3,876,661",122,67,184
Reunion,356,566,914,"15,632","45,684",61,"785,159",26,39,35
Romania,"28,223","71,405","135,232","9,887","27,366",39,"21,627,557",129,101,100
Russia,"310,865","900,478","1,757,743","8,575","20,341",48,"143,953,092",158,141,52
Rwanda,460,793,"2,783","7,716","20,097",47,"9,233,793",177,144,58
Saint Barthelemy,72,148,278,"7,625","20,665",82,0,180,139,22
Saint Kitts and Nevis,53,82,184,"10,149","21,954",45,"49,138",119,130,67
Saint Lucia,101,146,234,"9,232","29,057",90,"16,124",145,88,18
Saint Martin,28,54,98,"7,852","26,805",89,0,172,104,20
Saint Vincent and the Grenadines,68,112,200,"12,675","27,520",107,"119,137",64,99,13
Samoa,116,234,509,"14,279","26,705",20,"183,845",35,106,221
San Marino,94,242,360,"9,433","32,545",38,"30,214",138,75,106
Sao Tome and Principe,14,17,28,"1,522","4,878",36,"152,622",223,222,117
Saudi Arabia,"43,319","224,766","493,933","18,686","85,303",45,"2,361,236",14,8,67
Senegal,510,828,"1,522","9,646","24,816",39,"1,177,034",131,116,100
Serbia,"11,179","25,807","42,100","13,082","38,901",23,"9,863,026",53,53,210
Seychelles,39,58,101,"11,334","38,022",30,"85,532",97,54,157
Sierra Leone,174,335,776,"7,324","13,419",30,"5,586,403",187,193,157
Singapore,"1,174","22,416","42,917","17,081","50,650",21,"4,327,468",21,28,219
Slovakia,"8,980","15,848","25,679","9,625","31,188",31,"5,386,995",134,78,151
Slovenia,"5,639","10,673","18,884","11,460","39,417",26,"1,999,425",93,50,187
Solomon Islands,31,46,96,"8,721","15,173",28,"472,419",155,178,177
Somalia,439,888,"2,254","10,820","9,708",61,"8,196,395",106,210,35
South Africa,"24,285","58,518","122,455","10,137","33,190",32,"47,938,663",120,71,143
Spain,"42,375","88,417","187,589","10,739","30,441",48,"43,397,491",107,82,52
Sri Lanka,"7,668","17,543","38,577","8,723","19,018",26,"19,120,763",154,151,187
Sudan,"1,057","2,105","5,674","2,684","8,453",68,"36,899,747",220,214,28
Suriname,316,546,"1,013","10,968","21,331",33,"452,468",101,135,137
Swaziland,124,167,430,"16,064","26,187",23,"1,124,529",24,108,210
Sweden,"10,910","13,761","24,632","11,738","45,430",34,"9,038,049",89,40,130
Switzerland,"17,780","41,776","79,996","18,174","66,950",26,"7,424,389",15,17,187
Syrian Arab Republic,"2,147","4,075","7,065","8,081","19,643",48,"18,893,881",168,146,52
Taiwan,"26,844","458,612","1,244,359","13,827","51,788",27,0,40,25,184
Tajikistan,"1,060","2,099","4,266","5,366","11,664",38,"6,550,213",207,202,106
Thailand,"105,381","486,220","1,160,257","12,025","27,696",32,"63,002,911",82,95,143
The former Yugoslav Republic of Macedonia,"2,718","8,655","13,840","16,531","44,521",31,"2,033,655",22,42,151
Timor-Leste,235,526,"1,716","7,332","13,910",40,"1,067,285",186,187,91
Togo,304,408,757,"7,354","27,641",34,"6,238,572",185,97,130
Tonga,36,41,99,"10,285","12,007",60,"99,361",115,201,38
Trinidad and Tobago,"1,246","2,722","4,603","12,448","36,327",25,"1,323,722",73,58,195
Tunisia,"4,465","11,913","20,096","13,361","27,604",28,"10,104,685",47,98,177
Turkey,"44,814","125,096","210,782","13,284","33,478",33,"72,969,723",49,70,137
Turkmenistan,163,174,268,"1,769","6,508",53,"4,833,266",221,220,43
Turks and Caicos Islands,13,13,42,"14,625","30,580",110,"24,459",32,81,12
Uganda,"1,118","1,871","3,964","7,832","13,733",32,"28,947,181",174,190,143
Ukraine,"56,916","155,404","265,513","10,922","24,985",43,"46,917,544",102,115,81
United Arab Emirates,"5,446","21,050","41,134","20,999","130,888",25,"4,104,291",8,2,195
United Kingdom,"129,195","332,206","664,910","9,908","35,421",44,"60,244,834",127,62,73
United Republic of Tanzania,"1,418","2,195","4,595","8,368","13,516",41,"38,477,873",164,192,90
United States,"695,993","1,387,430","2,926,690","10,119","46,055",47,"299,846,449",121,37,58
United States Virgin Islands,226,450,923,"7,408","21,251",76,"111,408",184,137,24
Uruguay,"2,120","3,717","7,426","13,864","28,910",36,"3,325,727",38,90,117
Uzbekistan,"8,042","15,064","29,263","7,002","12,346",45,"26,593,123",194,200,67
Vanuatu,54,90,224,"7,839","13,562",33,"215,366",173,191,137
Venezuela,"4,385","14,741","38,980","4,015","7,667",59,"26,725,573",213,216,39
Viet Nam,"42,461","115,577","229,714","17,873","34,160",27,"85,028,643",16,66,184
Wallis and Futuna Islands,1,1,1,"1,255","2,433",278,"15,079",224,224,3
Yemen,193,231,388,"3,965","7,459",125,"21,095,679",215,217,10
Zambia,675,949,"2,040","8,405","13,296",45,"11,478,317",163,194,67
Zimbabwe,545,638,"1,769","6,217","11,588",52,"13,119,679",198,203,45
