Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,700,938,"2,480","3,442","6,949",56,"25,067,407",223,224,54
Åland Islands,163,300,489,"17,202","91,244",26,0,35,33,215
Albania,"1,826","4,724","7,944","13,679","45,590",29,"3,153,731",83,75,199
Algeria,"18,191","59,809","144,895","11,545","19,661",39,"32,854,159",132,184,124
American Samoa,22,30,54,"4,528","9,939",29,"64,051",222,221,199
Andorra,57,115,222,"20,657","129,125",39,"73,483",19,13,124
Angola,795,"1,239","2,752","9,571","24,586",45,"16,095,214",173,154,89
Anguilla,27,29,44,"7,579","27,210",62,"12,256",205,136,43
Antigua and Barbuda,174,383,623,"11,554","38,997",60,"83,039",131,87,49
Argentina,"20,818","40,490","73,066","9,190","26,440",46,"38,747,148",178,138,83
Armenia,"2,444","8,733","15,755","12,031","28,453",29,"3,017,661",113,128,199
Aruba,176,397,915,"23,149","74,023",39,"102,897",15,42,124
Australia,"49,153","134,344","258,940","15,102","119,059",30,"20,310,208",57,17,190
Austria,"22,631","48,053","88,677","17,146","79,813",30,"8,291,979",36,39,190
Azerbaijan,"4,401","10,425","16,035","12,603","35,703",30,"8,352,021",97,100,190
Bahamas,296,478,918,"10,302","30,910",48,"323,295",158,118,74
Bahrain,918,"10,684","21,368","18,817","127,080",22,"724,788",25,14,228
Bangladesh,"24,877","52,895","124,443","10,527","14,963",47,"15,328,112",154,205,78
Barbados,71,95,241,"8,966","28,657",62,"291,933",183,127,43
Belarus,"13,819","28,162","63,089","9,303","16,904",37,"9,795,287",175,199,132
Belgium,"10,556","16,731","25,359","16,213","70,094",33,"10,398,049",42,47,161
Belize,339,476,777,"6,568","14,940",50,"275,546",213,206,66
Benin,487,648,"1,535","13,796","25,232",32,"8,490,301",79,146,173
Bermuda,33,49,117,"11,501","45,081",45,"64,174",137,76,89
Bhutan,476,785,"2,615","14,462","75,276",27,"637,013",67,41,213
Bolivia,"6,318","21,692","40,143","10,115","17,026",45,"9,182,015",164,198,89
Bosnia and Herzegovina,"5,501","10,820","16,929","13,853","31,219",31,"3,915,238",78,116,180
Botswana,679,898,"1,723","13,723","31,863",42,"1,835,938",81,111,105
Brazil,"113,408","445,319","864,517","9,716","29,386",52,"186,830,759",170,121,60
British Indian Ocean Territory,1,1,1,816,"1,699",751,0,232,232,1
British Virgin Islands,59,119,222,"12,268","38,405",71,"22,016",104,90,34
Brunei Darussalam,652,"1,575","3,631","31,847","96,535",19,"373,831",1,28,233
Bulgaria,"10,042","34,045","61,239","17,057","123,550",29,"7,744,591",37,15,199
Burkina Faso,475,724,"1,538","14,522","21,810",32,"13,933,363",65,169,173
Burma,"13,642","26,496","56,585","14,123","24,900",47,"47,967,266",74,149,78
Burundi,111,192,529,"8,239","8,511",37,"7,858,791",192,222,132
Cambodia,"8,162","23,098","51,643","10,643","17,188",33,"13,955,507",152,197,161
Cameroon,561,"1,223","3,679","10,231","18,293",53,"17,795,149",162,191,58
Canada,"44,661","72,347","163,891","15,564","86,373",41,"32,270,507",48,36,112
Cape Verde,113,202,487,"14,264","30,241",30,"506,807",70,119,190
Cayman Islands,63,95,177,"11,097","45,994",49,"45,591",144,73,69
