Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,842,"1,257","3,134","3,158","7,441",60,"25,067,407",221,222,34
Albania,"1,832","4,753","8,537","13,448","43,269",26,"3,153,731",80,74,184
Algeria,"17,963","59,835","147,842","10,698","17,823",37,"32,854,159",151,194,97
American Samoa,15,20,47,"9,527","9,337",24,"64,051",179,219,200
Andorra,45,82,277,"21,761","109,292",24,"73,483",16,18,200
Angola,589,861,"2,143","10,302","27,553",41,"16,095,214",161,138,78
Anguilla,30,34,48,"12,325","38,941",69,"12,256",101,87,28
Antigua and Barbuda,190,420,760,"11,599","36,558",60,"83,039",127,97,34
Argentina,"21,330","40,963","70,932","8,701","25,439",44,"38,747,148",193,148,59
Armenia,"2,484","9,642","18,129","10,966","29,086",23,"3,017,661",148,131,207
Aruba,176,397,942,"20,036","70,865",31,"102,897",21,40,132
Australia,"49,442","129,950","252,348","14,393","109,698",28,"20,310,208",66,16,161
Austria,"22,946","50,043","101,282","16,539","72,099",28,"8,291,979",39,39,161
Azerbaijan,"4,282","9,916","15,735","12,251","33,524",25,"8,352,021",103,109,187
Bahamas,290,439,817,"10,627","36,172",42,"323,295",152,98,70
Bahrain,950,"10,343","21,277","17,378","95,669",22,"724,788",35,22,214
Bangladesh,"23,790","53,787","127,662","10,228","14,282",52,"15,328,112",165,206,42
Barbados,80,97,233,"11,356","31,917",27,"291,933",135,118,169
Belarus,"13,137","27,264","54,633","9,572","17,934",34,"9,795,287",176,190,115
Belgium,"9,791","14,495","22,969","15,952","65,654",29,"10,398,049",44,45,154
Belize,299,443,704,"7,320","18,326",36,"275,546",203,188,103
Benin,567,"1,061","5,553","17,103","35,412",28,"8,490,301",36,100,161
Bermuda,38,53,99,"13,148","47,042",25,"64,174",84,71,187
Bhutan,343,667,"2,309","14,761","66,405",31,"637,013",59,44,132
Bolivia,"5,981","19,155","32,423","11,641","20,643",38,"9,182,015",124,176,90
Bosnia and Herzegovina,"5,077","10,471","17,209","14,198","31,974",27,"3,915,238",69,117,169
Botswana,"1,077","1,584","3,515","14,477","33,952",30,"1,835,938",63,106,141
Brazil,"109,235","396,941","712,989","9,319","29,894",45,"186,830,759",184,128,53
British Virgin Islands,58,107,181,"11,952","39,826",77,"22,016",111,81,22
Brunei Darussalam,742,"1,736","3,267","27,986","73,631",17,"373,831",2,35,224
Bulgaria,"8,563","28,784","52,932","16,589","110,362",27,"7,744,591",38,15,169
Burkina Faso,447,660,"1,412","11,017","17,766",43,"13,933,363",147,196,64
Burma,"11,804","23,085","48,232","15,373","27,843",44,"47,967,266",49,137,59
Burundi,194,289,832,"6,790","9,835",30,"7,858,791",209,217,141
Cambodia,"7,814","21,350","49,059","11,405","17,873",30,"13,955,507",132,191,141
Cameroon,553,"1,106","3,039","9,590","17,817",35,"17,795,149",174,195,109
Canada,"39,812","61,446","139,193","15,644","91,654",34,"32,270,507",48,25,115
Cape Verde,87,160,308,"15,165","29,084",35,"506,807",50,132,109
Cayman Islands,62,84,173,"9,935","33,353",33,"45,591",170,112,119
Central African Republic,30,40,111,"3,452","9,789",378,"4,191,429",220,218,2
Chad,135,239,497,"14,870","22,926",47,"10,145,609",56,165,50
Chile,"26,153","112,442","267,531","11,057","30,717",40,"16,295,102",145,122,81
China,"207,261","368,962","1,153,175","31,810","155,737",30,"1,312,978,855",1,5,141
Colombia,"20,050","105,334","242,698","9,189","15,197",81,"4,494,579",186,204,21
Comoros,59,76,312,"11,800","30,612",286,"797,902",116,124,4
Congo,99,125,382,"12,251","27,483",31,"3,609,851",103,139,132
Cook Islands,20,31,127,"11,643","39,818",20,"13,984",123,82,221
Costa Rica,"5,449","19,219","29,571","9,429","27,356",30,"4,327,228",182,141,141
Cote d'Ivoire,964,"1,651","5,405","10,953","21,439",48,"18,584,701",149,170,46
Croatia,"15,460","50,572","98,522","17,471","89,353",26,"455,149",34,27,184
Cuba,"1,011","1,602","3,623","9,558","18,679",128,"11,259,905",178,185,10
Cyprus,"2,289","6,385","13,036","21,143","119,690",27,"836,321",18,10,169
Czech Republic,"14,132","24,881","44,441","19,587","58,977",30,"10,191,762",23,53,141
Democratic Republic of the Congo,627,928,"2,501","9,562","17,661",71,"58,740,547",177,198,26
Denmark,"14,968","26,707","55,585","23,966","126,318",22,"5,416,945",9,9,214
Djibouti,58,98,179,"10,000","33,821",45,"804,206",168,107,53
Dominica,47,57,80,"9,584","38,256",77,"67,827",175,92,22
Dominican Republic,"4,437","17,129","30,414","8,019","26,123",38,"9,469,601",196,144,90
Ecuador,"5,044","13,551","23,772","9,942","23,016",38,"13,060,993",169,163,90
Egypt,"14,220","49,034","83,318","10,041","23,264",38,"72,849,793",167,161,90
El Salvador,"3,316","12,590","24,061","10,279","25,042",29,"6,668,356",162,152,154
Equatorial Guinea,43,53,119,"5,210","12,414",39,"484,098",215,213,84
Estonia,"5,236","9,237","17,515","14,171","63,940",27,"1,344,312",70,46,169
Ethiopia,957,"2,113","5,926","19,925","30,314",35,"78,985,857",22,126,109
Faroe Islands,94,114,160,"21,845","62,031",15,"48,205",15,48,225
Fiji,542,"1,078","2,067","11,102","30,801",25,"828,046",144,121,187
Finland,"50,189","118,546","265,754","16,386","88,615",25,"5,246,004",42,28,187
France,"89,033","164,204","312,431","12,245","85,928",37,"60,990,544",105,29,97
French Guiana,132,197,377,"10,330","41,827",130,"192,099",158,78,9
French Polynesia,258,542,922,"10,313","25,194",25,"255,632",159,150,187
Gabon,221,306,670,"12,196","24,254",45,"1,290,693",108,155,53
Gambia,104,175,391,"6,333","16,387",30,"1,617,029",212,201,141
Georgia,"2,334","5,770","11,179","13,502","35,593",28,"4,473,409",79,99,161
Germany,"108,696","188,097","343,645","16,233","72,188",32,"82,652,369",43,38,123
Ghana,"1,544","2,051","5,502","11,390","12,654",42,"2,253,501",134,212,70
Gibraltar,21,70,143,"16,394","113,717",52,291,41,13,42
Greece,"17,604","66,985","126,396","13,871","72,895",27,"11,099,737",74,37,169
Greenland,68,88,158,"23,379","93,275",89,"57,475",11,24,18
Grenada,64,87,151,"7,911","37,780",90,"105,237",197,94,17
Guadeloupe,413,616,"1,174","12,848","53,245",82,"438,403",91,57,20
Guam,285,811,"1,691","8,994","29,943",45,"16,857",189,127,53
Guatemala,"7,071","18,804","35,846","14,949","23,759",25,"12,709,564",54,158,187
Guernsey,117,217,433,"12,231","48,570",23,0,106,66,207
Guinea,177,224,658,"6,202","10,653",123,"9,002,656",213,214,11
Guinea-Bissau,32,46,84,"13,519","23,890",43,"1,596,929",78,156,64
Guyana,278,439,677,"11,510","33,473",30,"739,472",130,110,141
Haiti,559,984,"2,312","9,490","18,388",36,"9,296,291",181,187,103
Holy See (Vatican City),6,171,265,"26,074","117,257",31,783,6,11,132
Honduras,"3,374","9,340","16,865","10,930","29,572",40,"683,411",150,129,81
Hong Kong,"1,478","33,613","87,728","14,745","75,569",21,"7,057,418",60,32,219
Hungary,"17,777","41,203","78,935","15,795","49,966",25,"10,086,387",46,63,187
Iceland,749,"1,115","2,089","21,375","127,206",23,"295,732",17,8,207
India,"434,143","1,433,330","3,098,619","6,334","18,944",50,"1,134,403,141",211,183,45
Indonesia,"158,081","662,286","1,653,448","11,453","20,463",44,"226,063,044",131,177,59
Iran (Islamic Republic of),"32,946","98,934","214,391","11,688","32,627",42,"69,420,607",121,114,70
Iraq,"7,549","17,912","36,554","20,345","40,818",27,"27,995,984",19,80,169
Ireland,"18,535","37,756","75,973","11,295","49,351",32,"4,143,294",139,65,123
Isle of Man,150,283,619,"12,909","34,773",47,"78,357",88,102,50
Israel,"8,289","43,927","88,043","13,610","50,545",29,"6,692,037",76,61,154
Italy,"155,436","529,236","1,141,871","12,484","52,316",41,"5,864,636",99,58,78
Jamaica,"1,157","1,913","3,438","12,201","39,286",28,"2,682,469",107,85,161
Japan,"49,395","105,189","300,725","11,575","60,530",43,"127,896,740",128,50,64
Jersey,91,161,294,"12,385","58,566",27,0,100,55,169
Jordan,"6,955","31,895","55,986","14,905","22,799",22,"5,544,066",55,166,214
Kazakhstan,"18,960","51,499","106,120","11,106","25,800",40,"15,210,609",143,146,81
Kenya,"3,239","5,872","11,943","11,778","26,728",38,"35,598,952",118,143,90
Kiribati,5,5,11,"11,043","31,902",343,"92,003",146,119,3
"Korea, Democratic People's Republic of",1,1,1,"19,408","59,794",25,"23,615,611",25,52,187
"Korea, Republic of","9,124","15,244","30,704","27,155","252,896",27,"47,869,837",4,1,169
Kuwait,"3,212","20,849","43,602","26,022","162,329",20,"2,700",7,3,221
Kyrgyzstan,"3,193","6,960","16,539","12,277","23,221",29,"5,203,547",102,162,154
Lao People's Democratic Republic,"4,522","8,639","16,416","13,132","26,892",32,"566,391",85,142,123
Latvia,"7,167","15,285","31,865","11,609","50,409",23,"2,301,793",126,62,207
Lebanon,"2,393","5,470","10,669","9,503","25,239",32,"401,074",180,149,123
Lesotho,126,176,828,"17,922","33,396",29,"1,980,831",32,111,154
Liberia,118,200,429,"11,185","16,933",36,"3,441,796",140,200,103
Libyan Arab Jamahiriya,"3,995","8,449","16,679","6,931","13,791",34,"5,918,217",206,208,115
Liechtenstein,130,211,363,"18,951","75,039",29,"34,598",28,33,154
Lithuania,"8,340","14,936","29,435","14,470","63,295",28,"3,425,077",64,47,161
Luxembourg,996,"2,109","3,622","19,387","108,547",27,"456,613",26,19,169
Macau,34,"1,181","3,372","22,410","58,633",19,"47,309",13,54,223
Madagascar,219,266,529,"7,325","20,137",65,"18,642,586",202,179,31
Malawi,481,850,"2,540","12,601","23,402",31,"13,226,091",95,160,132
Malaysia,"57,509","467,308","1,165,176","10,303","33,091",39,"25,652,985",160,113,84
Maldives,31,232,459,"19,437","73,921",24,"295,297",24,34,200
Mali,288,405,985,"16,452","29,300",45,"1,161,109",40,130,53
Malta,500,"1,816","3,259","15,088","54,769",22,"402,617",51,56,214
Marshall Islands,3,3,3,709,"5,912",101,"5,672",225,224,15
Martinique,301,417,"1,088","11,320","45,507",77,"395,896",137,72,22
Mauritania,349,624,"1,452","7,587","14,154",62,"2,963,105",200,207,33
Mauritius,"1,069","2,933","6,517","11,872","25,776",23,"1,241,173",114,147,207
Mayotte,44,59,135,"13,041","31,301",262,0,87,120,5
Mexico,"66,489","242,599","419,754","12,728","28,725",66,"104,266,392",94,134,29
"Micronesia, Federated States of",31,43,323,893,"24,312",116,"110,058",224,153,12
Monaco,29,124,428,"13,584","104,805",56,325,77,20,37
Mongolia,847,"1,342","3,801","12,507","20,985",37,"2,580,704",97,173,97
Montenegro,845,"2,349","4,560","15,711","38,623",23,"607,969",47,88,207
Montserrat,12,18,23,"4,767","34,839",66,"5,628",216,101,29
Morocco,"11,914","41,294","79,027","14,450","37,928",30,"30,494,991",65,93,141
Mozambique,"1,227","2,038","5,580","14,023","22,417",37,"20,532,675",72,167,97
Namibia,788,"1,367","2,690","12,045","21,027",33,"2,019,677",110,172,119
Nauru,3,3,4,"11,533","22,939",214,"10,111",129,164,6
Nepal,"2,121","3,362","5,369","11,948","19,201",37,"27,093,656",112,182,97
Netherlands,"22,650","39,381","64,938","23,872","113,627",25,"1,632,769",10,14,187
Netherlands Antilles,203,321,470,"18,654","52,125",37,"186,392",29,60,97
New Caledonia,68,87,139,"4,348","16,962",24,"234,185",218,199,200
New Zealand,"5,697","9,320","18,147","14,061","69,240",39,"4,097,112",71,42,84
Nicaragua,"2,766","7,273","12,772","11,614","25,096",34,"5,462,539",125,151,115
Niger,255,369,694,"5,785","10,596",112,"1,326,419",214,215,14
Nigeria,"5,568","8,595","19,934","11,346","21,960",48,"141,356,083",136,169,46
Northern Mariana Islands,98,179,343,"8,960","33,594",27,"80,258",190,108,169
Norway,"14,378","21,616","36,681","23,138","145,057",31,"4,638,836",12,6,132
Oman,"5,110","10,597","18,344","17,930","85,423",29,"2,507,042",31,30,154
Pakistan,"42,514","164,934","331,524","11,719","19,816",39,"158,080,591",120,181,84
Palau,69,120,220,"12,532","18,848",30,"20,127",96,184,141
Palestine,892,"6,171","13,166","9,847","33,966",35,"3,762,005",172,105,109
Panama,"3,229","9,608","17,970","11,651","20,652",28,"3,231,502",122,175,161
Papua New Guinea,284,553,"1,380","14,259","28,156",92,"6,069,715",68,136,16
Paraguay,"3,870","7,039","10,768","9,322","21,136",39,"5,904,342",183,171,84
Peru,"14,890","51,119","114,257","11,179","20,120",53,"27,274,266",141,180,39
Philippines,"61,174","421,423","1,060,568","7,513","25,810",35,"84,566,163",201,145,109
Poland,"70,941","144,080","279,739","11,305","52,215",32,"38,195,558",138,59,123
Portugal,"15,521","36,415","66,170","14,283","76,178",31,"10,528,226",67,31,132
Puerto Rico,"7,303","28,375","61,316","11,119","69,553",42,"3,946,779",142,41,70
Qatar,"2,099","7,629","13,498","27,609","158,916",24,"796,186",3,4,200
Republic of Moldova,"2,056","4,149","7,160","11,924","39,392",25,"3,876,661",113,84,187
Reunion,351,490,"1,007","13,922","59,999",74,"785,159",73,51,25
Romania,"21,607","60,179","116,956","11,720","36,836",33,"21,627,557",119,96,119
Russia,"255,008","708,401","1,483,677","10,450","27,376",43,"143,953,092",156,140,64
Rwanda,370,695,"2,613","6,839","20,415",30,"9,233,793",208,178,141
Saint Barthelemy,98,261,529,"9,635","28,186",70,0,173,135,27
