Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Antarctica,1,1,1,"4,568",103,"1,263",0,223,233,1
Falkland Islands (Malvinas),1,1,1,"1,057","4,131",811,"2,975",231,229,2
British Indian Ocean Territory,1,1,2,863,"2,878",749,0,232,231,3
Norfolk Island,5,5,14,"3,467","29,444",576,0,226,130,4
Kiribati,5,5,14,"2,770","4,071",560,"92,003",228,230,5
Mayotte,41,51,93,"10,798","30,561",354,0,150,127,6
Tonga,50,57,125,"6,364","8,664",334,"99,361",217,222,7
Central African Republic,27,33,88,"2,713","6,402",306,"4,191,429",229,226,8
Comoros,22,29,73,"11,442","27,198",259,"797,902",131,148,9
Nauru,9,15,39,"14,965","12,465",219,"10,111",62,216,10
Eritrea,2,2,2,"11,128","18,528",184,"4,526,722",140,187,11
Turks and Caicos Islands,15,23,31,"8,082","28,491",174,"24,459",198,140,12
Palau,31,55,95,"11,180","15,118",174,"20,127",138,207,12
Cuba,693,"1,044","2,820","7,272","10,393",147,"11,259,905",209,221,14
Sao Tome and Principe,9,10,17,"1,514","2,632",139,"152,622",230,232,15
Guadeloupe,395,582,"1,198","9,440","46,820",134,"438,403",181,75,16
French Guiana,159,233,643,"8,943","37,353",125,"192,099",191,98,17
Cook Islands,26,37,52,"6,603","11,573",122,"13,984",215,219,18
Niue,5,5,6,"9,232","32,659",121,"1,632",187,119,19
Reunion,323,475,872,"13,039","72,638",120,"785,159",90,47,20
Greenland,104,158,306,"23,414","95,121",117,"57,475",12,28,21
Martinique,349,505,"1,308","10,184","48,993",114,"395,896",169,70,22
Grenada,68,87,136,"10,707","39,062",105,"105,237",155,88,23
Papua New Guinea,547,"1,215","3,135","15,013","34,405",105,"6,069,715",60,110,23
"Micronesia, Federated States of",18,32,77,671,"21,379",104,"110,058",233,178,25
Turkmenistan,136,147,239,"2,782","5,270",102,"4,833,266",227,228,26
Svalbard,10,10,11,"14,932","83,433",99,0,63,38,27
Solomon Islands,25,36,73,"10,114","13,851",98,"472,419",170,213,28
Montserrat,14,17,21,"6,625","25,012",93,"5,628",214,164,29
Mauritania,433,752,"1,891","8,870","17,027",90,"2,963,105",192,197,30
Guinea,101,115,292,"7,886","13,870",89,"9,002,656",202,212,31
Saint Kitts and Nevis,57,80,111,"9,434","26,698",86,"49,138",182,152,32
Niger,267,417,909,"8,463","14,470",86,"1,326,419",196,209,32
British Virgin Islands,52,86,130,"10,974","43,860",76,"22,016",144,81,34
Dominica,62,80,127,"9,402","33,806",73,"67,827",183,112,35
Anguilla,35,44,64,"9,643","28,635",72,"12,256",177,136,36
Gibraltar,25,126,177,"20,439","101,278",70,291,18,24,37
Democratic Republic of the Congo,811,"1,327","4,321","11,900","21,923",70,"58,740,547",117,174,37
Antigua and Barbuda,185,366,638,"10,467","33,249",65,"83,039",161,117,39
Guyana,353,622,"1,217","10,771","25,899",65,"739,472",154,158,39
