Mobile,Country,Upload,Download,Latency,GDP Growth
0.0,Lithuania,21287.0,48329.0,-10.0,-0.871905539751921
0.0,Luxembourg,6197.0,-13353.0,4.0,-1.31320454303741
0.0,Madagascar,86574.0,107534.0,-27.0,-4.20000207447691
0.0,Malawi,26655.0,23479.0,-54.0,0.799999999999955
0.0,Malaysia,-17790.0,-35193.0,5.0,-5.58774467806195
0.0,Maldives,24032.0,47520.0,9.0,-31.9820637101164
0.0,Mali,5240.0,1550.0,-52.0,-1.64926140079287
0.0,Malta,-7812.0,-56359.0,30.0,-7.00112961514149
0.0,Mauritania,25487.0,31838.0,-137.0,-1.48848721412935
0.0,Mauritius,-6567.0,-11925.0,87.0,-14.867831289276
0.0,Mexico,-3489.0,-6186.0,260.0,-8.23947327731744
0.0,Mongolia,47009.0,72343.0,5.0,-5.33555201697223
0.0,Montenegro,17082.0,-18686.0,3.0,-15.158984433142
0.0,Morocco,591.0,-1032.0,-16.0,-7.11723216887476
0.0,Mozambique,3932.0,10809.0,1.0,-1.28188697176552
0.0,Namibia,1207.0,-768.0,-39.0,-7.98354382508364
0.0,Nepal,17094.0,17633.0,91.0,-2.08837869543885
0.0,Netherlands,-27309.0,-63804.0,5.0,-3.79863599268334
0.0,New Zealand,-12694.0,-16257.0,-6.0,0.98096509294345
0.0,Nicaragua,39573.0,59978.0,-9.0,-1.97732939329578
0.0,Niger,2042.0,5246.0,-227.0,1.50000554259205
0.0,Nigeria,-57.0,-708.0,41.0,-1.79425308233591
0.0,Norway,-69381.0,-52734.0,-6.0,-0.76586036472996
0.0,Pakistan,9351.0,27657.0,-28.0,0.525527438790377
0.0,Panama,-5277.0,-14028.0,-4.0,-17.9493316725846
0.0,Papua New Guinea,13298.0,74397.0,-263.0,-3.878818537374
0.0,Paraguay,-1451.0,-3485.0,216.0,-0.999999999994245
0.0,Peru,5634.0,6988.0,-14.0,-11.1488118768393
0.0,Philippines,3893.0,10663.0,-24.0,-9.57302987461006
0.0,Poland,-3363.0,-30058.0,19.0,-2.70170919482509
0.0,Portugal,-5476.0,5372.0,1.0,-7.57277776605211
0.0,Puerto Rico,40142.0,47452.0,-31.0,-3.90330519298465
0.0,Qatar,-34312.0,-15491.0,32.0,-3.66783552589879
0.0,Romania,77988.0,58917.0,-4.0,-3.85937359255286
0.0,Rwanda,47429.0,42606.0,-30.0,-3.35547212198846
0.0,Samoa,-5100.0,22788.0,22.0,-2.74256739608303
0.0,Sao Tome and Principe,6128.0,44912.0,3.0,3.08972555522433
0.0,Saudi Arabia,-5934.0,-19833.0,-36.0,-4.10658341159909
0.0,Senegal,14379.0,44249.0,-25.0,0.870408531926302
0.0,Serbia,-1376.0,-4378.0,50.0,-0.979714616234148
0.0,Seychelles,-2154.0,17667.0,-8.0,-10.7204870650812
0.0,Sierra Leone,18127.0,15848.0,-3.0,-2.16249723146613
0.0,Singapore,-147918.0,-141345.0,58.0,-5.39102140610559
0.0,Slovenia,5028.0,4355.0,1.0,-4.22926138908075
0.0,Solomon Islands,23047.0,49922.0,-127.0,-4.31726002703921
0.0,Somalia,-2890.0,529.0,-63.0,-1.49516270888303
